Scenario;Object Type;Object Name;Data Source;Category;Data Item;Statistic Type;Average;Minimum;Maximum;Half Width;Standard Deviation
Scenario 3;BridgeNode;LRP001;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP001a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP002;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP002a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP003;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP004;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP004a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP004b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP005;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP006;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP007;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP007a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP008;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP008a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP008b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP009;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP009a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP010;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP010a;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP010b;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
Scenario 3;BridgeNode;LRP010c;OutputStatistic1;UserSpecified;OutputValue;FinalValue;0;0;0;0;0
