,Unnamed: 0,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,0,N1,LRPS,23.7060278,90.443333,0.0,0,0.0,0,LRPSa,BlankProcess
1,1,N1,LRPSa,23.7029167,90.4504167,0.8140000000000001,0,0.0,0,LRPSb,BlankProcess
2,2,N1,LRPSb,23.702777800000003,90.4504722,0.8220000000000001,0,0.0,0,LRP001,BlankProcess
3,3,N1,LRP001,23.7021389,90.4519722,1.0,0,0.0,0,LRP001a,BlankProcess
4,4,N1,LRP001a,23.69873866,90.4588610799999,1.8,.,11.3,A,LRP002,BridgesDelay
5,5,N1,LRP002,23.6978886,90.4605833,2.0,0,0.0,0,LRP002a,BlankProcess
6,6,N1,LRP002a,23.6973608,90.4616667,2.13,0,0.0,0,LRP003,BlankProcess
7,7,N1,LRP003,23.693833,90.4691382,3.0,0,0.0,0,LRP004,BlankProcess
8,8,N1,LRP004,23.6936108,90.4787771,4.0,0,0.0,0,LRP004a,BlankProcess
9,9,N1,LRP004a,23.6938052,90.4805271,4.175,0,0.0,0,LRP004b,BlankProcess
10,10,N1,LRP004b,23.694663836363603,90.4877749181818,4.925,.,6.6,A,LRP005,BridgesDelay
11,11,N1,LRP005,23.6947497,90.4884997,5.0,0,0.0,0,LRP006,BlankProcess
12,12,N1,LRP006,23.6959163,90.4981941,6.0,0,0.0,0,LRP007,BlankProcess
13,13,N1,LRP007,23.697333,90.50775,7.0,0,0.0,0,LRP007a,BlankProcess
14,14,N1,LRP007a,23.6979163,90.5092778,7.181,0,0.0,0,LRP008,BlankProcess
15,15,N1,LRP008,23.7020556,90.5157222,8.0,0,0.0,0,LRP008a,BlankProcess
16,16,N1,LRP008a,23.7021111,90.5157778,8.011000000000001,0,0.0,0,LRP008b,BlankProcess
17,17,N1,LRP008b,23.704583300000003,90.5188327,8.429,0,0.0,0,LRP009,BlankProcess
18,18,N1,LRP009,23.705027800000003,90.5193327,8.503,0,0.0,0,LRP009a,BlankProcess
19,19,N1,LRP009a,23.706083300000003,90.5215271,8.763,0,0.0,0,LRP010,BlankProcess
20,20,N1,LRP010,23.7025278,90.5273882,9.503,0,0.0,0,LRP010a,BlankProcess
21,21,N1,LRP010a,23.7015278,90.5281938,9.615,0,0.0,0,LRP011,BlankProcess
22,22,N1,LRP011,23.696638600000004,90.5348052,10.503,0,0.0,0,LRP010b,BlankProcess
23,23,N1,LRP010b,23.6943906141361,90.53757407748691,10.88,NOYAPARA CULVERT,6.3,A,LRP011a,BridgesDelay
24,24,N1,LRP011a,23.6943608,90.5376108,10.885,0,0.0,0,LRP010c,BlankProcess
25,25,N1,LRP010c,23.694302386915805,90.53770737196258,10.897,ADUPUR CULVERT,6.3,A,LRP011b,BridgesDelay
26,26,N1,LRP011b,23.6922774,90.5410552,11.313,0,0.0,0,LRP012,BlankProcess
27,27,N1,LRP012,23.6918052,90.5426108,11.497,0,0.0,0,LRP012a,BlankProcess
28,28,N1,LRP012a,23.6911108,90.5448886,11.745,0,0.0,0,LRP012b,BlankProcess
29,29,N1,LRP012b,23.6910552,90.5451386,11.771,0,0.0,0,LRP011c,BlankProcess
30,30,N1,LRP011c,23.690911931515103,90.5454624957575,11.808,NAYABARI BOX CULVERT,10.6,B,LRP012c,BridgesDelay
31,31,N1,LRP012c,23.6904163,90.546583,11.936,0,0.0,0,LRP013,BlankProcess
32,32,N1,LRP013,23.6865274,90.5504167,12.524,0,0.0,0,LRP013a,BlankProcess
33,33,N1,LRP013a,23.685583027027,90.551207981081,12.66,MADAN PUR (R),26.3,A,LRP014,BridgesDelay
34,34,N1,LRP014,23.678166,90.5556111,13.524,0,0.0,0,LRP014a,BlankProcess
35,35,N1,LRP014a,23.6778035,90.5558194349999,13.574000000000002,KAWTALA BOX CULVERT,11.9,A,LRP015,BridgesDelay
36,36,N1,LRP015,23.670916,90.5597778,14.524,0,0.0,0,LRP015a,BlankProcess
37,37,N1,LRP015a,23.6705827,90.5599722,14.563,0,0.0,0,LRP016a,BlankProcess
38,38,N1,LRP016a,23.663309069614897,90.563856994797,15.465,MALIBAG BOX CULVERT,5.55,B,LRP016,BridgesDelay
39,39,N1,LRP016,23.662833300000006,90.5641111,15.524,0,0.0,0,LRP016b,BlankProcess
40,40,N1,LRP016b,23.6591111,90.5697216,16.242,0,0.0,0,LRP016c,BlankProcess
41,41,N1,LRP016c,23.6583056,90.5709993,16.402,0,0.0,0,LRP017,BlankProcess
42,42,N1,LRP017,23.6575,90.57197159999998,16.524,0,0.0,0,LRP017a,BlankProcess
43,43,N1,LRP017a,23.6559722,90.5743327,16.831,0,0.0,0,LRP017b,BlankProcess
44,44,N1,LRP017b,23.654425705113603,90.576730225,17.134,LANGOLBANDO PC GIDER BRIDGE,159.5,B,LRP017c,BridgesDelay
45,45,N1,LRP017c,23.6540556,90.5772771,17.204,0,0.0,0,LRP017d,BlankProcess
46,46,N1,LRP017d,23.6539167,90.5774993,17.234,0,0.0,0,LRP018,BlankProcess
47,47,N1,LRP018,23.6525278,90.5798882,17.524,0,0.0,0,LRP018a,BlankProcess
48,48,N1,LRP018a,23.6508889,90.5826382,17.863,0,0.0,0,LRP018b,BlankProcess
49,49,N1,LRP018b,23.6506944,90.5829993,17.904,0,0.0,0,LRP018c,BlankProcess
50,50,N1,LRP018c,23.6497543993548,90.5845490085483,18.093,SONARKALI BRIDGE(L),24.5,B,LRP019,BridgesDelay
51,51,N1,LRP019,23.6476108,90.588083,18.524,0,0.0,0,LRP019a,BlankProcess
52,52,N1,LRP019a,23.6459685949152,90.58921198135592,18.742,MOLLIK PARA P.C(L),40.5,B,LRP019b,BridgesDelay
53,53,N1,LRP019b,23.6397497,90.5926941,19.521,0,0.0,0,LRP020,BlankProcess
54,54,N1,LRP020,23.639694100000003,90.5927219,19.524,0,0.0,0,LRP020a,BlankProcess
55,55,N1,LRP020a,23.637954371538402,90.5936673976923,19.76,KRIBORDI BOX CULVERT,6.0,A,LRP020b,BridgesDelay
56,56,N1,LRP020b,23.6341108,90.59702740000002,20.342,0,0.0,0,LRP020c,BlankProcess
57,57,N1,LRP020c,23.6335552,90.5976941,20.442,0,0.0,0,LRP021,BlankProcess
58,58,N1,LRP021,23.6330549,90.5982774,20.524,0,0.0,0,LRP021c,BlankProcess
59,59,N1,LRP021c,23.6284668507692,90.6023015723077,21.184,MARIKHALL BRIDGE,89.2,A,LRP021a,BridgesDelay
