,Road,LRPName,Description,Chainage,Length,Cat,Lat,Lon
0,N1,LRP001a,.,1.8,11.3,A,23.69873866,90.4588610799999
1,N1,LRP004b,.,4.925,6.6,A,23.6946638363636,90.4877749181818
2,N1,LRP008b,KANCHPUR PC GIRDER BRIDGE,8.976,397.0,C,23.7050598925675,90.5232141463513
3,N1,LRP010a,KATCHPUR BOX CULVERT,10.543,8.0,B,23.6964000869109,90.5350989801047
4,N1,LRP010b,NOYAPARA CULVERT,10.88,6.3,A,23.6943906141361,90.5375740774869
5,N1,LRP010c,ADUPUR CULVERT,10.897,6.3,A,23.6943023869158,90.5377073719626
6,N1,LRP011a,NAYABARI KASPUR BOX CULVERT,11.296,8.3,A,23.6923601518691,90.5409183897196
7,N1,LRP011c,NAYABARI BOX CULVERT,11.808,10.6,B,23.6909119315151,90.5454624957575
8,N1,LRP012a,KHAS PARA BOX CULVERT,12.239,9.3,A,23.6884123260204,90.5485585290816
9,N1,LRP012b,DAWAN BAG BOX CULVERT,12.253,6.1,A,23.6883197331632,90.548649807653
10,N1,LRP013a,MADAN PUR (R),12.66,26.3,A,23.685583027027,90.551207981081
11,N1,LRP013a,MADANPUR BRIDGE(L),12.66,26.3,A,23.685583027027,90.551207981081
12,N1,LRP014a,KAWTALA BOX CULVERT,13.574,11.9,A,23.6778035,90.5558194349999
13,N1,LRP016a,MALIBAG BOX CULVERT,15.465,5.55,B,23.6633090696149,90.563856994797
14,N1,LRP017b,LANGOLBANDO PC GIDER BRIDGE,17.134,159.5,B,23.6544257051136,90.576730225
15,N1,LRP018a,DARIKANDI BRIDGE (R),17.722,20.0,B,23.6515705663716,90.5814943946902
16,N1,LRP018a,DARIKANDI BRIDGE (L),17.722,20.0,B,23.6515705663716,90.5814943946902
17,N1,LRP018c,SONARKALI BRIDGE(L),18.093,24.5,B,23.6497543993548,90.5845490085483
18,N1,LRP018c,SONARKALI BRIDGE(R),18.093,24.5,B,23.6497543993548,90.5845490085483
19,N1,LRP019a,MOLLIK PARA BRIDGE (R),18.742,40.5,C,23.6459685949152,90.5892119813559
20,N1,LRP019a,MOLLIK PARA P.C(L),18.742,40.5,B,23.6459685949152,90.5892119813559
21,N1,LRP020a,KRIBORDI BOX CULVERT,19.76,6.0,A,23.6379543715384,90.5936673976923
22,N1,LRP020b,SHADIPUR BOX CULVERT,20.397,10.4,B,23.63380522,90.597394085
23,N1,LRP021c,MARIKHALL BRIDGE,21.184,89.2,A,23.6284668507692,90.6023015723077
24,N1,LRP022a,SANGAKADI CULVERT,22.328,5.5,B,23.6198832229508,90.6083528852459
25,N1,LRP023a,ASHIR CHAR (Right),22.596,224.8,A,23.6176407964705,90.6095506105882
26,N1,LRP023a,ASHIR CHAR ( Left),22.596,213.5,B,23.6176407964705,90.6095506105882
27,N1,LRP023c,ASHARIR CHAR (L),23.081,120.1,A,23.613587384385,90.6109029561497
28,N1,LRP023c,ASHIR CHAR (R),23.081,116.8,B,23.613587384385,90.6109029561497
29,N1,LRP024a,MEGHNA BRIDGE,24.393,900.0,C,23.6027595885583,90.6155316965675
30,N1,LRP026a,TATULTALA CULVERT,26.115,5.6,A,23.5929818827893,90.6279699370919
31,N1,LRP026b,BAILAKANDI CULVERT,26.452,5.5,A,23.5908088547468,90.6302368598101
32,N1,LRP027a,MALUAKANDI CULVEDRT,27.12,5.6,A,23.58631812254,90.6345094207093
33,N1,LRP028a,BHATIR CHAR BRIDGE,28.315,163.5,A,23.5779800248475,90.6419193089939
34,N1,LRP029a,ANARPUR BRIDGE(R),29.138,29.0,A,23.5716306256965,90.6454159236842
35,N1,LRP029a,ANAR PURA BRIDGE(L),29.138,29.0,A,23.5716306256965,90.6454159236842
36,N1,LRP030a,VITIKANDA - ANAR PUR CULVERT,29.842,34.7,A,23.5660033956521,90.6486237247282
37,N1,LRP031a,ALI PURA P.C BRIDGE (RIGHT),30.908,26.3,A,23.5591910296296,90.6557475703703
38,N1,LRP031a,ALIPURA BRIDGE (LEFT),30.908,26.3,B,23.5591910296296,90.6557475703703
39,N1,LRP032a,VOBAR CHAR (L),31.472,29.0,A,23.5557082901265,90.6597414245569
40,N1,LRP032a,VOBAR CHAR BRIDGE(R),31.472,29.0,A,23.5557082901265,90.6597414245569
41,N1,LRP032d,BOBARCHAR BRIDGE(L),32.121,28.9,A,23.5517421907216,90.6643538752577
42,N1,LRP032d,BOBAIRCHAR BRIDGE(R),32.121,28.9,A,23.5517421907216,90.6643538752577
43,N1,LRP033a,PURRANBUICHE BOX CULVERT,32.777,9.1,A,23.5477377446428,90.6690554098214
44,N1,LRP033b,NOYAPARA,32.796,5.2,A,23.5476246437499,90.669192065625
45,N1,LRP034a,Madhya Baushia Bridge(L),33.591,72.49,A,23.54268543125,90.6748292125
46,N1,LRP034a,MADHAYA BAUSHIA BRIDGE(R),33.591,59.2,A,23.54268543125,90.6748292125
47,N1,LRP034a,MADHAYA BAUSHIA(L),33.591,70.0,A,23.54268543125,90.6748292125
48,N1,LRP034b,Madhya Baushia Bridge(R),33.591,59.83,A,23.54268543125,90.6748292125
49,N1,LRP034c,BOCTAR KANDI BOX CULVERT,34.111,5.1,C,23.5393910168,90.6784577888
50,N1,LRP035a,.,35.181,9.5,A,23.5327751898617,90.6858701078341
51,N1,LRP036a,BORAKANDI BRIDGE(L),35.408,24.5,B,23.5313996605222,90.68744892596
52,N1,LRP036a,CHAR BOWSHIA BRIDGE(R),35.408,24.5,B,23.5313996605222,90.68744892596
53,N1,LRP036c,CHAR BOUSHEA (2),35.707,8.4,A,23.5301519626506,90.6897951837349
54,N1,LRP037a,Daud Kandi Bridge,37.01,1408.8,C,23.5303844733,90.7024402743
55,N1,LRP040b,BALDHA KHAL RCC GIDER BRIDGE,39.304,21.8,C,23.5324186,90.7242807234
56,N1,LRP040c,MAIS PARA BOX CULVERT,39.86,6.0,B,23.5317587831999,90.7291780095
57,N1,LRP043a,SHAHID NAGIR,42.936,16.5,C,23.5298050611,90.75825325
58,N1,LRP046a,SARKAR BARI CULVERT,45.164,3.9,C,23.5307655282208,90.7800797251533
59,N1,LRP047a,AMIRABATH SLAB CULVERT,46.871,6.5,C,23.5308683409424,90.7918075171727
60,N1,LRP049a,Ginlatoly,48.384,15.9,C,23.5318234765,90.8110155135
61,N1,LRP051a,RAIPUR BOX CULVERT,50.558,12.2,A,23.5329743291,90.8309774761999
62,N1,LRP053a,AITAL BANGA BOX CULVERT,52.313,4.5,C,23.5229166652,90.8442186132
63,N1,LRP056a,ILLIOT BAZER,56.006,28.9,B,23.510087758207,90.8757204035353
64,N1,LRP059a,KHAT GHOR BOX CULVERT,58.838,5.9,B,23.5060024341,90.9021745389
65,N1,LRP061a,BAKRA BOX CULVERT,60.83,3.0,B,23.5056131416,90.9214660218
66,N1,LRP064a,MATIA BAZER,63.098,6.0,B,23.5024077848,90.9432418928
