,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,N102,LRPS,23.4789716,91.1181938,0.0,0,0.0,0,LRPSa,BlankProcess
1,N102,LRPSa,23.4815827,91.1167771,0.32899999999999996,0,0.0,0,LRPSc,BlankProcess
2,N102,LRPSc,23.4865823366366,91.1134175204204,0.984,PORISPUR BOX CULVERT,3.0,A,LRPSb,BridgesDelay
3,N102,LRPSb,23.4866663,91.11336109999999,0.995,0,0.0,0,LRP001,BlankProcess
4,N102,LRP001,23.4867219,91.1133056,1.0,0,0.0,0,LRP002,BlankProcess
5,N102,LRP002,23.493527399999998,91.1069167,2.0,0,0.0,0,LRP002a,BlankProcess
6,N102,LRP002a,23.49375786875,91.1065069265625,2.059,Brorechon,1.5,A,LRP002b,BridgesDelay
7,N102,LRP002b,23.496333,91.1059167,2.365,0,0.0,0,LRP002c,BlankProcess
8,N102,LRP002c,23.4976150683871,91.1056026587096,2.511,ZUMUR BOX CULVERT,1.4,A,LRP003,BridgesDelay
9,N102,LRP003,23.5020278,91.1050556,3.0,0,0.0,0,LRP004,BlankProcess
10,N102,LRP004,23.5093333,91.09963859999999,4.0,0,0.0,0,LRP004a,BlankProcess
11,N102,LRP004a,23.5112222,91.0981108,4.261,0,0.0,0,LRP005,BlankProcess
12,N102,LRP005,23.5166389,91.0939441,5.0,0,0.0,0,LRP006,BlankProcess
13,N102,LRP006,23.5246104,91.08877740000001,6.056,0,0.0,0,LRP007a,BlankProcess
14,N102,LRP007a,23.532123766,91.08357801,7.036,RAMPUR,3.75,C,LRP007,BridgesDelay
15,N102,LRP007,23.5322771,91.0834719,7.056,0,0.0,0,LRP008,BlankProcess
16,N102,LRP008,23.541944100000002,91.07727709999999,8.081,0,0.0,0,LRP008a,BlankProcess
17,N102,LRP008a,23.542194100000003,91.0742493,8.537,0,0.0,0,LRP008b,BlankProcess
18,N102,LRP008b,23.5423052,91.0741382,8.554,0,0.0,0,LRP009,BlankProcess
19,N102,LRP009,23.5457774,91.0706104,9.05,0,0.0,0,LRP009a,BlankProcess
20,N102,LRP009a,23.5501111,91.06613890000001,9.722999999999999,0,0.0,0,LRP010,BlankProcess
21,N102,LRP010,23.5523611,91.064,10.05,0,0.0,0,LRP010a,BlankProcess
22,N102,LRP010a,23.5531111,91.0633333,10.16,0,0.0,0,LRP010c,BlankProcess
23,N102,LRP010c,23.5555824089887,91.0615780033707,10.53,CONSUNAGAR SLAB,0.9,A,LRP011,BridgesDelay
24,N102,LRP011,23.5590556,91.0591111,11.05,0,0.0,0,LRP011a,BlankProcess
25,N102,LRP011a,23.5605,91.0553056,11.925,0,0.0,0,LRP011b,BlankProcess
26,N102,LRP011b,23.5501944,91.05497220000001,12.017999999999999,0,0.0,0,LRP012,BlankProcess
27,N102,LRP012,23.5669438,91.0549167,12.026,0,0.0,0,LRP012a,BlankProcess
28,N102,LRP012a,23.5739730932019,91.0589041898522,12.96,KAKORTOLA CULVERT,6.0,B,LRP013,BridgesDelay
29,N102,LRP013,23.5745827,91.05925,13.040999999999999,0,0.0,0,LRP014,BlankProcess
30,N102,LRP014,23.5768882,91.041833,14.03,0,0.0,0,LRP015,BlankProcess
31,N102,LRP015,23.5813882,91.03577740000001,15.017999999999999,0,0.0,0,LRP015a,BlankProcess
32,N102,LRP015a,23.582051760625,91.035477270625,15.109,BUGRABUS BOX CULVERT,5.7,A,LRP016,BridgesDelay
33,N102,LRP016,23.585888600000004,91.02830490000001,16.042,0,0.0,0,LRP017,BlankProcess
34,N102,LRP017,23.587447758050217,91.01909396942392,17.042,0,0.0,0,LRP017a,BlankProcess
35,N102,LRP017a,23.587878085672,91.0165517525849,17.318,BHIRALLA BOX CULVERT,3.0,A,LRP018,BridgesDelay
36,N102,LRP018,23.5902219,91.01,18.01,0,0.0,0,LRP018a,BlankProcess
37,N102,LRP018a,23.5909394457831,91.0082061759036,18.211,BARRA BOX CULVERT,6.2,C,LRP019,BridgesDelay
38,N102,LRP019,23.5935552,91.0011944,19.01,0,0.0,0,LRP019a,BlankProcess
39,N102,LRP019a,23.594105237569,91.0002488353591,19.122,BARRA (3)BOX CULVERT,6.0,A,LRP019b,BridgesDelay
40,N102,LRP019b,23.5965552,90.9971108,19.55,0,0.0,0,LRP020,BlankProcess
41,N102,LRP020,23.5997219,90.9941386,20.01,0,0.0,0,LRP020a,BlankProcess
42,N102,LRP020a,23.6026111,90.9896108,20.56,0,0.0,0,LRP021,BlankProcess
43,N102,LRP021,23.6065556,90.9889997,21.03,0,0.0,0,LRP021a,BlankProcess
44,N102,LRP021a,23.6074609183908,90.9886068132183,21.137,BARHA BOX CULVERT,4.6,B,LRP021c,BridgesDelay
45,N102,LRP021c,23.6098404598465,90.9859215237851,21.519,DABIDDAR CULVERT,2.8,A,LRP021b,BridgesDelay
46,N102,LRP021b,23.610277800000002,90.985333,21.595,0,0.0,0,LRP022,BlankProcess
47,N102,LRP022,23.612222199999998,90.98180490000001,22.041,0,0.0,0,LRP022a,BlankProcess
48,N102,LRP022a,23.616527800000004,90.9769438,22.758000000000003,0,0.0,0,LRP023,BlankProcess
49,N102,LRP023,23.6187493,90.97561040000001,23.041,0,0.0,0,LRP023a,BlankProcess
50,N102,LRP023a,23.6236104,90.9727771,23.66,0,0.0,0,LRP023b,BlankProcess
51,N102,LRP023b,23.623916,90.97263819999999,23.695999999999998,0,0.0,0,LRP024,BlankProcess
52,N102,LRP024,23.6268882,90.97105490000001,24.04,0,0.0,0,LRP024a,BlankProcess
53,N102,LRP024a,23.6269716,90.97097159999998,24.055,0,0.0,0,LRP024b,BlankProcess
54,N102,LRP024b,23.6334519936602,90.9707964104067,24.808,Companigong RCC Girder Bridge,113.8,A,LRP024c,BridgesDelay
55,N102,LRP024c,23.635194100000003,90.9708049,25.011,0,0.0,0,LRP025,BlankProcess
56,N102,LRP025,23.6354719,90.9708327,25.04,0,0.0,0,LRP025a,BlankProcess
57,N102,LRP025a,23.6376108,90.9708882,25.281999999999996,0,0.0,0,LRP025b,BlankProcess
58,N102,LRP025b,23.6421389039215,90.9710499655228,25.791,Nagorpar Box Culvert,9.4,A,LRP026,BridgesDelay
59,N102,LRP026,23.644388600000003,90.9711104,26.046,0,0.0,0,LRP026a,BlankProcess
60,N102,LRP026a,23.6505,90.9713327,26.732,0,0.0,0,LRP027,BlankProcess
61,N102,LRP027,23.6532778,90.9728327,27.08,0,0.0,0,LRP027a,BlankProcess
62,N102,LRP027a,23.657583300000002,90.98008270000001,27.964000000000002,0,0.0,0,LRP028,BlankProcess
63,N102,LRP028,23.657916699999998,90.9806382,28.033,0,0.0,0,LRP028a,BlankProcess
64,N102,LRP028a,23.6582625911764,90.98123461,28.106,GAFUR NAGOR RCC GIDER BRIDGE,51.2,C,LRP028b,BridgesDelay
65,N102,LRP028b,23.658972199999997,90.9824438,28.255,0,0.0,0,LRP028c,BlankProcess
66,N102,LRP028c,23.6606364852349,90.9852248134228,28.594,DHARIA BOX CULVERT,12.3,A,LRP029,BridgesDelay
67,N102,LRP029,23.6628889,90.9888886,29.03,0,0.0,0,LRP029a,BlankProcess
68,N102,LRP029a,23.6641292255813,90.9909234372093,29.3,BAHARNAGOR BOX CULVERT,6.0,A,LRP029b,BridgesDelay
69,N102,LRP029b,23.6651021529148,90.9924928071748,29.509,MANJUR BRIDGE,52.0,C,LRP029c,BridgesDelay
70,N102,LRP029c,23.666,90.99388859999999,29.701,0,0.0,0,LRP029d,BlankProcess
71,N102,LRP029d,23.667499300000003,90.99622190000001,29.996,0,0.0,0,LRP030,BlankProcess
72,N102,LRP030,23.6679993,90.9969719,30.04,0,0.0,0,LRP030a,BlankProcess
73,N102,LRP030a,23.6706588358851,91.001111684689,30.562,YOUSUF PUR BRIDGE,28.8,B,LRP030b,BridgesDelay
74,N102,LRP030b,23.6713049,91.00219440000001,30.695999999999998,0,0.0,0,LRP031,BlankProcess
75,N102,LRP031,23.6730827,91.00497220000001,31.044,0,0.0,0,LRP031a,BlankProcess
76,N102,LRP031a,23.6738327,91.00613890000001,31.19,0,0.0,0,LRP031b,BlankProcess
77,N102,LRP031b,23.6748049,91.0076944,31.385,0,0.0,0,LRP031c,BlankProcess
78,N102,LRP031c,23.67742905968,91.01174384112,31.894,USUP - PUR BOX CULVERT,12.6,C,LRP031d,BridgesDelay
79,N102,LRP031d,23.678082699999997,91.01272220000001,32.023,0,0.0,0,LRP032,BlankProcess
80,N102,LRP032,23.677943799999998,91.01297220000001,32.04,0,0.0,0,LRP032a,BlankProcess
81,N102,LRP032a,23.6814348885558,91.0178126856948,32.655,SAMOLSHAL CHOR BOX CULVERT,9.5,C,LRP033a,BridgesDelay
82,N102,LRP033a,23.6835366416666,91.02088825,33.038,NAYAPARA BOX CULVERT,9.2,C,LRP033,BridgesDelay
83,N102,LRP033,23.6836663,91.02108270000001,33.062,0,0.0,0,LRP033b,BlankProcess
84,N102,LRP033b,23.684138600000004,91.0217771,33.149,0,0.0,0,LRP033c,BlankProcess
85,N102,LRP033c,23.6845080677796,91.0256800398998,33.647,SHALGANG BOX CULVERT,9.4,A,LRP033d,BridgesDelay
86,N102,LRP033d,23.6872497,91.0265271,33.758,0,0.0,0,LRP034,BlankProcess
87,N102,LRP034,23.689083,91.02883270000001,34.068000000000005,0,0.0,0,LRP034a,BlankProcess
88,N102,LRP034a,23.689138600000003,91.0289438,34.086,0,0.0,0,LRP034b,BlankProcess
89,N102,LRP034b,23.6915390710431,91.0322015766187,34.515,BROSALGAR CULVERT,9.5,A,LRP035,BridgesDelay
90,N102,LRP035,23.694582999999998,91.03663859999999,35.053000000000004,0,0.0,0,LRP035a,BlankProcess
91,N102,LRP035a,23.6950746873563,91.0372988528735,35.141,SONG CHAIL RCC GIDER BRIDGE,35.5,C,LRP035b,BridgesDelay
92,N102,LRP035b,23.695777399999997,91.03827740000001,35.580999999999996,0,0.0,0,LRP035c,BlankProcess
93,N102,LRP035c,23.699944100000003,91.0441386,36.035,0,0.0,0,LRP035d,BlankProcess
94,N102,LRP035d,23.7,91.0441941,36.05,0,0.0,0,LRP036,BlankProcess
95,N102,LRP036,23.700277800000002,91.0444719,36.086,0,0.0,0,LRP036a,BlankProcess
96,N102,LRP036a,23.701472199999998,91.0462219,36.321999999999996,0,0.0,0,LRP036b,BlankProcess
97,N102,LRP036b,23.7036148380368,91.0491655730061,36.703,MOULSBI BARI CULVERT,12.2,A,LRP036c,BridgesDelay
98,N102,LRP036c,23.704333300000002,91.0500833,36.828,0,0.0,0,LRP036d,BlankProcess
99,N102,LRP036d,23.70525,91.0513333,36.995,0,0.0,0,LRP036e,BlankProcess
100,N102,LRP036e,23.705345235164838,91.05145784945056,37.007,0,0.0,0,LRP037,BlankProcess
101,N102,LRP037,23.705972199999998,91.0522778,37.086,0,0.0,0,LRP037a,BlankProcess
102,N102,LRP037a,23.708305600000003,91.05525,37.507,0,0.0,0,LRP037b,BlankProcess
103,N102,LRP037b,23.7083611,91.0553333,37.518,0,0.0,0,LRP037d,BlankProcess
104,N102,LRP037d,23.7111220035714,91.058573425,37.955,MIRPUR CULVERT,4.65,A,LRP037c,BridgesDelay
105,N102,LRP037c,23.711722199999997,91.05927779999999,38.05,0,0.0,0,LRP038,BlankProcess
106,N102,LRP038,23.711833300000002,91.0593889,38.076,0,0.0,0,LRP038a,BlankProcess
107,N102,LRP038a,23.7142222,91.0624444,38.458,0,0.0,0,LRP038b,BlankProcess
108,N102,LRP038b,23.7148611,91.06322220000001,38.567,0,0.0,0,LRP038c,BlankProcess
109,N102,LRP038c,23.7149444,91.06330559999999,38.591,0,0.0,0,LRP038d,BlankProcess
110,N102,LRP038d,23.717618285562633,91.06656204161358,39.04,0,0.0,0,LRP039,BlankProcess
111,N102,LRP039,23.7177493,91.0667216,39.062,0,0.0,0,LRP039a,BlankProcess
112,N102,LRP039a,23.7219993,91.0720271,39.784,0,0.0,0,LRP039b,BlankProcess
113,N102,LRP039b,23.722166,91.07216600000001,39.81,0,0.0,0,LRP040,BlankProcess
114,N102,LRP040,23.723527100000002,91.07411040000001,40.066,0,0.0,0,LRP040a,BlankProcess
115,N102,LRP040a,23.724717610204,91.0759599153061,40.291,KALAMONLA BRIDGE,52.4,B,LRP040b,BridgesDelay
116,N102,LRP040b,23.7255549,91.077166,40.402,0,0.0,0,LRP041,BlankProcess
117,N102,LRP041,23.730332699999998,91.0799438,41.066,0,0.0,0,LRP041a,BlankProcess
118,N102,LRP041a,23.7329438,91.0811938,41.388999999999996,0,0.0,0,LRP042,BlankProcess
119,N102,LRP042,23.738805199999998,91.08399969999999,42.07899999999999,0,0.0,0,LRP043,BlankProcess
120,N102,LRP043,23.7468052,91.08833299999999,43.07899999999999,0,0.0,0,LRP043a,BlankProcess
121,N102,LRP043a,23.7511944,91.0933886,43.792,0,0.0,0,LRP043b,BlankProcess
122,N102,LRP043b,23.7513611,91.09363859999999,43.825,0,0.0,0,LRP043c,BlankProcess
123,N102,LRP043c,23.7525556,91.094833,44.007,0,0.0,0,LRP044,BlankProcess
124,N102,LRP044,23.7530556,91.09538859999999,44.07899999999999,0,0.0,0,LRP044a,BlankProcess
125,N102,LRP044a,23.7546766537313,91.0972766597014,44.355,CHOTICHOIMOHARI RCC GIDER BRIGDE,46.5,A,LRP044b,BridgesDelay
126,N102,LRP044b,23.7556389,91.0984163,44.521,0,0.0,0,LRP044c,BlankProcess
127,N102,LRP044c,23.7564383509433,91.0993658110062,44.664,MIRPUKUR CULVERT,18.6,B,LRP044d,BridgesDelay
128,N102,LRP044d,23.7574167,91.1005278,44.839,0,0.0,0,LRP045,BlankProcess
129,N102,LRP045,23.758944399999997,91.1023056,45.07899999999999,0,0.0,0,LRP045a,BlankProcess
130,N102,LRP045a,23.7602647328125,91.1038290375,45.274,GOLA SHAR BOX CULVERT,6.0,A,LRP046,BridgesDelay
131,N102,LRP046,23.765472199999998,91.1098056,46.111000000000004,0,0.0,0,LRP046a,BlankProcess
132,N102,LRP046a,23.7690411118367,91.1138816821768,46.694,KHARERA BRIDGE,14.5,A,LRP046b,BridgesDelay
133,N102,LRP046b,23.7699716,91.1149444,46.846000000000004,0,0.0,0,LRP047,BlankProcess
134,N102,LRP047,23.771416000000002,91.11661109999999,47.071999999999996,0,0.0,0,LRP047a,BlankProcess
135,N102,LRP047a,23.7741250240549,91.1196976773195,47.512,DAROGABARI BOX CULVERT,12.0,C,LRP048,BridgesDelay
136,N102,LRP048,23.7779438,91.1240827,48.119,0,0.0,0,LRP048a,BlankProcess
137,N102,LRP048a,23.7808685333333,91.1277111458333,48.613,MONKASAR BOX CULVERT,12.6,B,LRP049,BridgesDelay
138,N102,LRP049,23.783583,91.1317493,49.119,0,0.0,0,LRP049a,BlankProcess
139,N102,LRP049a,23.7844441,91.1330827,49.288999999999994,0,0.0,0,LRP049b,BlankProcess
140,N102,LRP049b,23.784527399999998,91.13322159999998,49.308,0,0.0,0,LRP050,BlankProcess
141,N102,LRP050,23.7887219,91.1397219,50.119,0,0.0,0,LRP050a,BlankProcess
142,N102,LRP050a,23.790634972888,91.1426418571709,50.488,SOYDABAD BOX CULVERT,12.2,A,LRP050c,BridgesDelay
143,N102,LRP050c,23.7925664032258,91.1456018225806,50.862,CHAITABUS - RCC GIRDER BRIDGE,17.3,C,LRP050b,BridgesDelay
144,N102,LRP050b,23.793277399999997,91.1466941,51.0,0,0.0,0,LRP051,BlankProcess
145,N102,LRP051,23.793888600000002,91.1476108,51.119,0,0.0,0,LRP051b,BlankProcess
146,N102,LRP051b,23.7993621932004,91.1496333468933,51.794,TNLLAK BOX CULVERT,19.0,B,LRP051a,BridgesDelay
147,N102,LRP051a,23.8008056,91.1501667,51.972,0,0.0,0,LRP052,BlankProcess
148,N102,LRP052,23.8020833,91.15041670000001,52.119,0,0.0,0,LRP052a,BlankProcess
149,N102,LRP052a,23.80675,91.1513056,52.65,0,0.0,0,LRP052b,BlankProcess
150,N102,LRP052b,23.8071667,91.15138890000001,52.703,0,0.0,0,LRP053,BlankProcess
151,N102,LRP053,23.810805600000002,91.15213890000001,53.119,0,0.0,0,LRP053a,BlankProcess
152,N102,LRP053a,23.814194399999998,91.15288890000001,53.446999999999996,0,0.0,0,LRP053b,BlankProcess
153,N102,LRP053b,23.814555600000002,91.15299999999999,53.49100000000001,0,0.0,0,LRP054,BlankProcess
154,N102,LRP054,23.820416,91.15375,54.17,0,0.0,0,LRP055a,BlankProcess
155,N102,LRP055a,23.828311880845,91.1549145893896,55.063,TANTO CULVERT,8.7,B,LRP055,BridgesDelay
156,N102,LRP055,23.82932870760564,91.15506456450704,55.178000000000004,0,0.0,0,LRP055b,BlankProcess
157,N102,LRP055b,23.829916,91.15513890000001,55.248999999999995,0,0.0,0,LRP055c,BlankProcess
158,N102,LRP055c,23.8323327,91.15552779999999,55.526,0,0.0,0,LRP056,BlankProcess
159,N102,LRP056,23.8383052,91.15641670000001,56.178000000000004,0,0.0,0,LRP056a,BlankProcess
160,N102,LRP056a,23.8393608,91.15661109999999,56.321000000000005,0,0.0,0,LRP056b,BlankProcess
161,N102,LRP056b,23.8450274,91.1571389,56.958999999999996,0,0.0,0,LRP056c,BlankProcess
162,N102,LRP056c,23.8465552,91.1574444,57.13399999999999,0,0.0,0,LRP057,BlankProcess
163,N102,LRP057,23.8469441,91.1575278,57.178000000000004,0,0.0,0,LRP058,BlankProcess
164,N102,LRP058,23.85575,91.1591389,58.178000000000004,0,0.0,0,LRP058a,BlankProcess
165,N102,LRP058a,23.8606111,91.15522220000001,58.898999999999994,0,0.0,0,LRP058b,BlankProcess
166,N102,LRP058b,23.860805600000003,91.1549722,58.935,0,0.0,0,LRP059,BlankProcess
167,N102,LRP059,23.8621667,91.1532778,59.178000000000004,0,0.0,0,LRP059a,BlankProcess
168,N102,LRP059a,23.8632222,91.1519444,59.368,0,0.0,0,LRP059b,BlankProcess
169,N102,LRP059b,23.8663333,91.1479997,59.903999999999996,0,0.0,0,LRP059c,BlankProcess
170,N102,LRP059c,23.8664444,91.1478608,59.92,0,0.0,0,LRP060,BlankProcess
171,N102,LRP060,23.8748604,91.1409997,60.178000000000004,0,0.0,0,LRP060a,BlankProcess
172,N102,LRP060a,23.8749941691908,91.1409041702282,60.841,MODINAGOR RCC GIDER BRIDGE,27.3,B,LRP060b,BridgesDelay
173,N102,LRP060b,23.8750549,91.1408608,61.141999999999996,0,0.0,0,LRP061,BlankProcess
174,N102,LRP061,23.8752771,91.14052740000001,61.178000000000004,0,0.0,0,LRP062,BlankProcess
175,N102,LRP062,23.8843052,91.1353052,62.25,0,0.0,0,LRP062b,BlankProcess
176,N102,LRP062b,23.8853489295858,91.1348459710059,62.377,SULTANPUR BOX CULVERT,5.5,A,LRP062a,BridgesDelay
177,N102,LRP062a,23.885694100000002,91.1346941,62.419,0,0.0,0,LRP062c,BlankProcess
178,N102,LRP062c,23.8895347735294,91.1321742735294,63.039,SULTANPUR BOX CULVERT,5.6,A,LRP063a,BridgesDelay
179,N102,LRP063a,23.8929316116246,91.1310313021008,63.311,SULTANPUR RCC BRIDGE,21.2,A,LRP063,BridgesDelay
180,N102,LRP063,23.8929441,91.1310271,63.312,0,0.0,0,LRP063b,BlankProcess
181,N102,LRP063b,23.894833,91.12999930000001,63.551,0,0.0,0,LRP064,BlankProcess
182,N102,LRP064,23.900941803948665,91.12758382043437,64.279,0,0.0,0,LRP064a,BlankProcess
183,N102,LRP064a,23.9033333,91.1266382,64.564,0,0.0,0,LRP064b,BlankProcess
184,N102,LRP064b,23.9056389,91.1258327,64.832,0,0.0,0,LRP064c,BlankProcess
185,N102,LRP064c,23.906083300000002,91.12572159999999,64.884,0,0.0,0,LRP065,BlankProcess
186,N102,LRP065,23.9094722,91.1245549,65.279,0,0.0,0,LRP065a,BlankProcess
187,N102,LRP065a,23.913259581065,91.1233226442307,65.72,OUSURA BOX CULVERT,5.6,A,LRP066,BridgesDelay
188,N102,LRP066,23.918166,91.1216938,66.298,0,0.0,0,LRP066a,BlankProcess
189,N102,LRP066a,23.921686040606,91.1205320224242,66.71,UZURA CULVERT,5.6,A,LRP067a,BridgesDelay
190,N102,LRP067a,23.9256180593023,91.1192338627907,67.164,RAMRAIL BOX CULVERT,12.0,B,LRP067,BridgesDelay
191,N102,LRP067,23.9268327,91.1188327,67.30199999999999,0,0.0,0,LRP067c,BlankProcess
192,N102,LRP067c,23.9328134045563,91.1168121455635,68.007,RAMRAIL BRIDGE.,48.4,D,LRP067b,BridgesDelay
193,N102,LRP067b,23.9348608,91.1161111,68.249,0,0.0,0,LRP068,BlankProcess
194,N102,LRP068,23.9354441,91.1161111,68.30199999999999,0,0.0,0,LRP068a,BlankProcess
195,N102,LRP068a,23.9354997,91.1160833,68.312,0,0.0,0,LRP069,BlankProcess
196,N102,LRP069,23.944333,91.11666600000001,69.319,0,0.0,0,LRP069a,BlankProcess
197,N102,LRP069a,23.949582999999997,91.1169993,69.905,0,0.0,0,LRP070a,BlankProcess
198,N102,LRP070a,23.9529335260869,91.116861673913,70.285,VADHUGHAR BRIDGE,88.7,B,LRP070,BridgesDelay
199,N102,LRP070,23.953638899999998,91.1168327,70.365,0,0.0,0,LRP070b,BlankProcess
200,N102,LRP070b,23.9561111,91.1160556,70.654,0,0.0,0,LRP070c,BlankProcess
201,N102,LRP070c,23.9570833,91.1155556,70.78399999999999,0,0.0,0,LRP071,BlankProcess
202,N102,LRP071,23.958222199999998,91.1100556,71.365,0,0.0,0,LRP072,BlankProcess
203,N102,LRP072,23.96125,91.1020556,72.365,0,0.0,0,LRP072a,BlankProcess
204,N102,LRP072a,23.965999999999998,91.1015278,72.90100000000001,0,0.0,0,LRP073e,BlankProcess
205,N102,LRP073e,23.9679353219827,91.1013978806034,73.118,NORTH PORTALA BRIDGE,30.8,B,LRP073,BridgesDelay
206,N102,LRP073,23.970138199999997,91.10125,73.365,0,0.0,0,LRP073a,BlankProcess
207,N102,LRP073a,23.970679480412368,91.10119589793814,73.428,0,0.0,0,LRP073b,BlankProcess
208,N102,LRP073b,23.970971600000002,91.10116670000001,73.462,0,0.0,0,LRP074,BlankProcess
209,N102,LRP074,23.9790549,91.1003333,74.365,0,0.0,0,LRP074a,BlankProcess
210,N102,LRP074a,23.9819438,91.10025,74.69,0,0.0,0,LRP075,BlankProcess
211,N102,LRP075,23.987582999999997,91.10252779999999,75.365,0,0.0,0,LRP076,BlankProcess
212,N102,LRP076,23.994888600000003,91.1081667,76.365,0,0.0,0,LRP076a,BlankProcess
213,N102,LRP076a,23.9967497,91.10925,76.59899999999999,0,0.0,0,LRP077,BlankProcess
214,N102,LRP077,23.997471899999997,91.1093056,76.68,0,0.0,0,LRP077a,BlankProcess
215,N102,LRP077a,23.9987492949579,91.109389610084,76.824,GHATARA BRIDGE,18.3,B,LRP077b,BridgesDelay
216,N102,LRP077b,24.0018611,91.1095556,77.178,0,0.0,0,LRP078,BlankProcess
217,N102,LRP078,24.0064444,91.1086389,77.689,0,0.0,0,LRP078a,BlankProcess
218,N102,LRP078a,24.0098333,91.1093333,78.08,0,0.0,0,LRP078b,BlankProcess
219,N102,LRP078b,24.0132778,91.10972220000001,78.465,0,0.0,0,LRP079,BlankProcess
220,N102,LRP079,24.015277800000003,91.11,78.689,0,0.0,0,LRP079a,BlankProcess
221,N102,LRP079a,24.0173882,91.1103056,78.934,0,0.0,0,LRP080,BlankProcess
222,N102,LRP080,24.0242493,91.1118056,79.699,0,0.0,0,LRP080a,BlankProcess
223,N102,LRP080a,24.0245823385026,91.1118705048128,79.737,UTTOR SHOHIL PUR CULVERT,3.0,B,LRP081,BridgesDelay
224,N102,LRP081,24.033082699999998,91.1129167,80.699,0,0.0,0,LRP082,BlankProcess
225,N102,LRP082,24.0421108,91.1139722,81.714,0,0.0,0,LRP082a,BlankProcess
226,N102,LRP082a,24.0426882295942,91.1140799386635,81.779,BATHBARIA BOX CULVERT,3.0,A,LRPE,BridgesDelay
227,N102,LRPE,24.0506111,91.1146667,82.682,0,0.0,0,PreRome,BlankProcess
