,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,R544,LRPS,24.8065,88.97799930000001,0.0,0,0.0,0,LRP001,BlankProcess
1,R544,LRP001,24.806472199999998,88.97802709999999,0.006,0,0.0,0,LRP001a,BlankProcess
2,R544,LRP001a,24.798833,88.981166,0.895,0,0.0,0,LRP002,BlankProcess
3,R544,LRP002,24.797971899999997,88.98147159999999,1.0,0,0.0,0,LRP003,BlankProcess
4,R544,LRP003,24.7892497,88.9834997,2.01,0,0.0,0,LRP003a,BlankProcess
5,R544,LRP003a,24.7870552,88.9828327,2.2,0,0.0,0,LRP004,BlankProcess
6,R544,LRP004,24.7816938,88.98141600000001,2.9,0,0.0,0,LRP004a,BlankProcess
7,R544,LRP004a,24.778221600000002,88.9806104,3.287,0,0.0,0,LRP004b,BlankProcess
8,R544,LRP004b,24.7767771,88.9802493,3.4560000000000004,0,0.0,0,LRP005,BlankProcess
9,R544,LRP005,24.7715271,88.9793882,4.02,0,0.0,0,LRP005a,BlankProcess
10,R544,LRP005a,24.7668604,88.97805490000002,4.578,0,0.0,0,LRP005b,BlankProcess
11,R544,LRP005b,24.765666699999997,88.977416,4.721,0,0.0,0,LRP005c,BlankProcess
12,R544,LRP005c,24.764277800000002,88.976916,4.897,0,0.0,0,LRP006,BlankProcess
13,R544,LRP006,24.7631667,88.9764438,5.02,0,0.0,0,LRP006a,BlankProcess
14,R544,LRP006a,24.759111100000002,88.97491600000001,5.505,0,0.0,0,LRP006b,BlankProcess
15,R544,LRP006b,24.759027800000002,88.9748882,5.515,0,0.0,0,LRP007,BlankProcess
16,R544,LRP007,24.7545833,88.97322159999999,6.02,0,0.0,0,LRP007a,BlankProcess
17,R544,LRP007a,24.7508889,88.9717771,6.487,0,0.0,0,LRP007b,BlankProcess
18,R544,LRP007b,24.747388600000004,88.9703882,6.898,0,0.0,0,LRP008,BlankProcess
19,R544,LRP008,24.7461108,88.9698882,7.025,0,0.0,0,LRP008a,BlankProcess
20,R544,LRP008a,24.7414997,88.969166,7.5729999999999995,0,0.0,0,LRP009,BlankProcess
21,R544,LRP009,24.737582999999997,88.9697771,8.025,0,0.0,0,LRP010,BlankProcess
22,R544,LRP010,24.7286938,88.97011040000001,9.025,0,0.0,0,LRP011,BlankProcess
23,R544,LRP011,24.7198049,88.9706104,10.025,0,0.0,0,LRP012,BlankProcess
24,R544,LRP012,24.7110556,88.9713327,11.025,0,0.0,0,LRP013,BlankProcess
25,R544,LRP013,24.7022778,88.9724438,12.025,0,0.0,0,LRP014,BlankProcess
26,R544,LRP014,24.693527399999997,88.97355490000001,13.025,0,0.0,0,LRP015,BlankProcess
27,R544,LRP015,24.6848052,88.9746104,14.025,0,0.0,0,LRP016,BlankProcess
28,R544,LRP016,24.6759716,88.97561040000001,15.025,0,0.0,0,LRPE,BlankProcess
29,R544,LRPE,24.6136111,88.97447159999999,25.7,0,0.0,0,PreRome,BlankProcess
