,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
0,Z1422,LRPS,23.2508611,90.8497497,0.0,0,0.0,0,LRP001,BlankProcess
1,Z1422,LRP001,23.2508333,90.8498886,0.006,0,0.0,0,LRP001a,BlankProcess
2,Z1422,LRP001a,23.2488818667711,90.8513332006269,0.297,MOKINABUS BOX CULVERT,5.9,A,LRP001b,BridgesDelay
3,Z1422,LRP001b,23.2473113329341,90.8524482479041,0.488,DAKATIA RCC GIRDER BRIDGE,116.4,A,LRP001c,BridgesDelay
4,Z1422,LRP001c,23.2464163,90.85311109999999,0.612,0,0.0,0,LRP001d,BlankProcess
5,Z1422,LRP001d,23.2459163,90.85347220000001,0.6779999999999999,0,0.0,0,LRP002,BlankProcess
6,Z1422,LRP002,23.2434997,90.85513890000001,1.06,0,0.0,0,LRP002a,BlankProcess
7,Z1422,LRP002a,23.2361941,90.8553611,1.81,RANTHORIMURA BOX CULVERT,6.1,B,LRP003,BridgesDelay
8,Z1422,LRP003,23.234527399999997,90.85552779999999,1.995,0,0.0,0,LRP003a,BlankProcess
9,Z1422,LRP003a,23.2271738829192,90.854989695031,2.886,ZIANAGOR CULVERT,4.6,B,LRP004,BridgesDelay
10,Z1422,LRP004,23.2255827,90.8548889,3.06,0,0.0,0,LRP004a,BlankProcess
11,Z1422,LRP004a,23.218416,90.85463890000001,3.8480000000000003,0,0.0,0,LRP005,BlankProcess
12,Z1422,LRP005,23.2165556,90.8545278,4.05,0,0.0,0,LRP006,BlankProcess
13,Z1422,LRP006,23.2075833,90.8550833,5.09,0,0.0,0,LRP006a,BlankProcess
14,Z1422,LRP006a,23.205888899999998,90.8549167,5.276,0,0.0,0,LRP007,BlankProcess
15,Z1422,LRP007,23.1984997,90.8543333,6.1,0,0.0,0,LRP007a,BlankProcess
16,Z1422,LRP007a,23.1979997,90.85427779999999,6.165,0,0.0,0,LRP007b,BlankProcess
17,Z1422,LRP007b,23.192944100000002,90.8539444,6.718999999999999,0,0.0,0,LRP008,BlankProcess
18,Z1422,LRP008,23.189583,90.85425,7.11,0,0.0,0,LRP008a,BlankProcess
19,Z1422,LRP008a,23.187944100000003,90.8544722,7.282,0,0.0,0,LRP008b,BlankProcess
20,Z1422,LRP008b,23.185721899999997,90.8549722,7.547000000000001,0,0.0,0,LRP009,BlankProcess
21,Z1422,LRP009,23.1806938,90.85475,8.11,0,0.0,0,LRP009a,BlankProcess
22,Z1422,LRP009a,23.1765836528109,90.8547062398637,8.572,MONUAR BANGLI BOX CULVERT,6.0,A,LRP010,BridgesDelay
