,road,lrp,chainage,length,condition,lat,lon,Time to Repair,Entity Destination Type,Node Name,Failure Type,Uptime Between Failures
0,N1,LRPS,0.0,,,23.7060278,90.443333,0.0,Specific,LRPSa,No Failures,0
1,N1,LRPSa,0.8140000000000001,,,23.7029167,90.4504167,0.0,Specific,LRPSb,No Failures,0
2,N1,LRPSb,0.8220000000000001,,,23.702777800000003,90.45047220000001,0.0,Specific,LRP001,No Failures,0
3,N1,LRP001,1.0,,,23.702138899999998,90.4519722,0.0,Specific,LRP001a,No Failures,0
4,N1,LRP001a,1.8,11.3,A,23.69873866,90.4588610799999,"Uniform(0.25, 1)",Specific,LRP002,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
5,N1,LRP002,2.0,,,23.697888600000002,90.4605833,0.0,Specific,LRP002a,No Failures,0
6,N1,LRP002a,2.13,,,23.697360800000002,90.4616667,0.0,Specific,LRP003,No Failures,0
7,N1,LRP003,3.0,,,23.693832999999998,90.4691382,0.0,Specific,LRP004,No Failures,0
8,N1,LRP004,4.0,,,23.693610800000002,90.4787771,0.0,Specific,LRP004a,No Failures,0
9,N1,LRP004a,4.175,,,23.6938052,90.48052709999999,0.0,Specific,LRP004b,No Failures,0
10,N1,LRP004b,4.925,6.6,A,23.6946638363636,90.4877749181818,"Uniform(1/6, 1/3)",Specific,LRP005,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
11,N1,LRP005,5.0,,,23.6947497,90.48849969999999,0.0,Specific,LRP006,No Failures,0
12,N1,LRP006,6.0,,,23.6959163,90.49819409999999,0.0,Specific,LRP007,No Failures,0
13,N1,LRP007,7.0,,,23.697333,90.50775,0.0,Specific,LRP007a,No Failures,0
14,N1,LRP007a,7.181,,,23.6979163,90.50927779999999,0.0,Specific,LRP008,No Failures,0
15,N1,LRP008,8.0,,,23.7020556,90.51572220000001,0.0,Specific,LRP008a,No Failures,0
16,N1,LRP008a,8.011000000000001,,,23.7021111,90.5157778,0.0,Specific,LRP008b,No Failures,0
17,N1,LRP008b,8.429,,,23.704583300000003,90.5188327,0.0,Specific,LRP009,No Failures,0
18,N1,LRP009,8.503,,,23.705027800000003,90.5193327,0.0,Specific,LRP009a,No Failures,0
19,N1,LRP009a,8.763,,,23.706083300000003,90.5215271,0.0,Specific,LRP008b,No Failures,0
20,N1,LRP008b,8.976,397.0,C,23.7050598925675,90.5232141463513,"Triangular(1, 2, 4)",Specific,LRP010,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
21,N1,LRP010,9.503,,,23.702527800000002,90.5273882,0.0,Specific,LRP010a,No Failures,0
22,N1,LRP010a,9.615,,,23.7015278,90.5281938,0.0,Specific,LRP010b,No Failures,0
23,N1,LRP010b,9.963,,,23.6998608,90.53072159999999,0.0,Specific,LRP010c,No Failures,0
24,N1,LRP010c,10.377,,,23.6974163,90.5337774,0.0,Specific,LRP011,No Failures,0
25,N1,LRP011,10.503,,,23.696638600000004,90.53480520000001,0.0,Specific,LRP010a,No Failures,0
26,N1,LRP010a,10.543,8.0,B,23.6964000869109,90.5350989801047,"Uniform(1/6, 1/3)",Specific,LRP010b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
