,Unnamed: 0,Road_Name,Link_No,Link_Name,Start LRP,Start Offset,Start_Chainage,End LRP,End Offset,End_Chainage,Link_Length,Economic_Traffic,No_Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic,Total_A,Total_B,Total_C,Total_D,segment_vulnerability,segment_vulnerability_length
0,0,N1,N1-1,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0.0,LRPS,822,0.8220000000000001,0.8220000000000001,187500.5,6.6861313870000005,79.41812227,897.1555677000001,201.985262,417.7303493,111.9481441,308.8482533,53.69323144,333.4514192,410.4017467,62.36790393,33.27783843,147.8433406,0.0,2877.0,181.121179,3058.1211789999998,0,0,0,0,0.0,
1,2,N1,N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.8220000000000001,LRPS,4175,4.175,3.353,176462,5.203996421,77.24832369,1122.598774,220.4075305,546.1187461000001,101.07616479999999,386.2416184,45.73408218,355.688177,572.6368272999999,76.47968365,44.58112213,170.83024819999997,0.0,3504.2299270000003,215.41137030000002,3719.6412969999997,1,0,0,0,0.005000000000000001,
2,3,N1,N1-3,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.0060000000000002,102161,5.290419162,16.63384267,496.17996600000004,400.4408602,467.4487831999999,327.1007357,303.0950764,57.84040747,311.7900396,418.01980760000004,200.55121680000002,13.89303905,220.96547819999998,0.0,2999.100736,234.8585173,3233.959253,1,0,0,0,0.005000000000000001,
3,5,N1,N1-4,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.5819999999999999,101563,5.81795196,28.10267275,503.6136462,251.4630595,430.9076488,241.6657975,233.2435897,57.15069535,303.11353760000003,502.49641460000004,198.0937636,62.56497175,224.1338548,0.0,2749.8508260000003,286.6988266,3036.549652,0,0,0,0,0.0,
4,7,N1,N1-5,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,175797,4.3983611719999995,37.17293637,1066.7609630000002,761.5336414,702.079679,591.0155847,515.873961,67.52515047,418.7923474,708.6730438999999,261.1199842,82.75809688,296.4740613,0.0,5130.547291,379.2321582,5509.77945,4,2,1,0,0.1,
5,9,N1,N1-6,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.9989999999999997,175797,4.089022256,39.98510886,1147.462573,819.1444777,755.1927592999999,635.7265472,554.9003792000001,72.63350049,450.4744374,762.2849193,280.8739909,89.01883562,318.9026419,0.0,5518.678694,407.9214775,5926.600171,7,1,0,0,0.051250000000000004,
6,11,N1,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,175797,4.0,40.875,1173.0,837.375,772.0,649.875,567.25,74.25,460.5,779.25,287.125,91.0,326.0,0.0,5641.5,417.0,6058.5,4,9,2,0,0.26125000000000004,
7,13,N1,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.52,154865.5,4.267045455,70.18908123,1208.447403,248.5326232,400.7456724,165.2197071,387.8561917,93.62450067,480.1917443,291.06790950000004,49.68308921,7.96804261,38.31691079,0.0,3395.557923,46.2849534,3441.8428759999997,7,6,0,0,0.1325,
8,15,N1,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372000000000001,154865.5,4.0,74.875,1289.125,265.125,427.5,176.25,413.75,99.875,512.25,310.5,53.0,8.5,40.875,0.0,3622.25,49.375,3671.625,15,1,1,0,0.13875,
9,17,N1,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,154865.5,4.0,74.875,1289.125,265.125,427.5,176.25,413.75,99.875,512.25,310.5,53.0,8.5,40.875,0.0,3622.25,49.375,3671.625,18,2,1,0,0.17000000000000004,
