,Road name,Link no,Link Name,Start LRP,Start Offset,Start Chainage,End LRP,End Offset,End Chainage,Link Length,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
0,N1,N1-1,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0.0,LRPS,822,0.8220000000000001,0.8220000000000001,187500.5,6.686131386861314,79.41812227074236,897.1555676855895,201.98526200873363,417.73034934497815,111.94814410480349,308.84825327510913,53.693231441048034,333.4514192139738,410.4017467248908,62.367903930131,33.2778384279476,147.8433406113537,0.0,2877.0,181.1211790393013,3058.1211790393013
2,N1,N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822,0.8220000000000001,LRPS,4175,4.175,3.353,176462.0,5.203996421115418,77.24832368617113,1122.598773568686,220.4075305175082,546.1187460599463,101.07616482319905,386.2416184308557,45.73408218236003,355.6881769728925,572.6368273253482,76.47968364949283,44.581122127342546,170.83024815175656,0.0,3504.22992721646,215.41137027909912,3719.6412974955592
3,N1,N1-3,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.0060000000000002,102161.0,5.290419161676647,16.633842671194113,496.1799660441426,400.4408602150537,467.44878324844365,327.1007357102433,303.0950764006791,57.84040747028862,311.7900396151669,418.0198075834748,200.5512167515563,13.893039049235991,220.96547821165817,0.0,2999.100735710243,234.85851726089416,3233.959252971137
5,N1,N1-4,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.5819999999999999,101563.0,5.817951959544881,28.10267275097783,503.6136462407648,251.4630595393307,430.90764884832674,241.66579747935677,233.24358974358972,57.15069534984789,303.1135375923511,502.4964146023467,198.0937635810517,62.56497175141242,224.1338548457192,0.0,2749.850825727944,286.69882659713164,3036.5496523250754
7,N1,N1-5,Katchpur - Madanpur (Left)N105 (Left),LRP009,260,8.763,LRP012,439,11.936,3.173,175797.0,4.398361172392059,37.172936371453126,1066.760963026655,761.5336414445397,702.0796789911147,591.0155846947548,515.8739610203495,67.52515047291486,418.7923473774719,708.6730438521064,261.11998423617075,82.75809687589565,296.4740613356262,0.0,5130.547291487531,379.23215821152183,5509.779449699053
9,N1,N1-6,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.9989999999999997,175797.0,4.089022255563892,39.9851088551859,1147.4625733855185,819.1444777397259,755.1927592954988,635.7265472113502,554.9003791585126,72.63350048923678,450.4744373776907,762.2849192759294,280.87399094911933,89.01883561643834,318.9026418786692,0.0,5518.678693737768,407.9214774951076,5926.600171232875
11,N1,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,175797.0,4.0,40.875,1173.0,837.375,772.0,649.875,567.25,74.25,460.5,779.25,287.125,91.0,326.0,0.0,5641.5,417.0,6058.5
13,N1,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.52,154865.5,4.267045454545455,70.18908122503328,1208.4474034620505,248.53262316910784,400.74567243675097,165.21970705725698,387.85619174434083,93.62450066577895,480.19174434087876,291.06790945406124,49.68308921438082,7.968042609853527,38.31691078561917,0.0,3395.5579227696403,46.2849533954727,3441.842876165113
15,N1,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372000000000001,154865.5,3.9999999999999996,74.87500000000001,1289.1250000000002,265.12500000000006,427.50000000000006,176.25000000000003,413.75000000000006,99.87500000000001,512.2500000000001,310.50000000000006,53.00000000000001,8.500000000000002,40.87500000000001,0.0,3622.2500000000005,49.37500000000001,3671.6250000000005
17,N1,N1-10,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,154865.5,4.000000000000001,74.87499999999999,1289.1249999999998,265.12499999999994,427.4999999999999,176.24999999999997,413.7499999999999,99.87499999999997,512.2499999999999,310.49999999999994,52.999999999999986,8.499999999999998,40.87499999999999,0.0,3622.249999999999,49.374999999999986,3671.624999999999
19,N1,N1-11,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,154865.5,4.60865603644647,64.98640767101621,1118.8728252273625,230.11046856465003,371.04092526690386,152.9730130486358,359.10686041913794,86.68470739422696,444.59816132858833,269.49288256227754,46.000395413206796,7.377421905891656,35.47672004744958,0.0,3143.866646896006,42.85414195334124,3186.720788849347
21,N1,N1-12,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388000000000005,6.922000000000001,146249.5,5.0479630164692315,70.02824680899772,962.071232327857,176.20969034399852,323.2987235991069,118.66172514452515,138.07549653711857,78.744633964856,215.43343254536074,157.09306851353662,32.68645183446853,6.933489783069082,25.05961307309254,0.0,2272.3027016198257,31.99310285616162,2304.2958044759876
23,N1,N1-13,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388000000000005,LRP043,4955,47.224,1.8359999999999999,146249.5,5.9999999999999725,58.916666666666934,809.4166666666704,148.25000000000068,272.00000000000125,99.8333333333338,116.1666666666672,66.2500000000003,181.25000000000082,132.16666666666728,27.500000000000128,5.83333333333336,21.08333333333343,0.0,1911.7500000000089,26.91666666666679,1938.6666666666756
25,N1,N1-14,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,146249.5,6.0,58.916666666666664,809.4166666666666,148.25,272.0,99.83333333333333,116.16666666666667,66.25,181.25,132.16666666666666,27.5,5.833333333333333,21.083333333333332,0.0,1911.75,26.916666666666668,1938.6666666666667
27,N1,N1-15,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,146249.5,6.000000000000002,58.91666666666665,809.4166666666664,148.24999999999994,271.99999999999994,99.8333333333333,116.16666666666663,66.24999999999999,181.24999999999994,132.16666666666663,27.499999999999993,5.833333333333331,21.08333333333333,0.0,1911.7499999999995,26.916666666666657,1938.666666666666
29,N1,N1-16,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.36,146249.5,6.000000000000005,58.916666666666615,809.416666666666,148.24999999999986,271.9999999999998,99.83333333333324,116.16666666666656,66.24999999999994,181.24999999999983,132.16666666666654,27.499999999999975,5.833333333333329,21.083333333333314,0.0,1911.7499999999984,26.916666666666643,1938.666666666665
31,N1,N1-17,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.9510000000000005,156929.0,5.999999999999993,53.66666666666673,904.8333333333344,120.25000000000014,307.25000000000034,77.33333333333343,166.33333333333354,67.33333333333341,188.08333333333357,325.2500000000004,92.41666666666677,18.66666666666669,29.833333333333368,0.0,2302.7500000000027,48.50000000000006,2351.2500000000027
33,N1,N1-18,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257000000000001,156929.0,6.000000000000004,53.66666666666663,904.8333333333327,120.24999999999991,307.2499999999998,77.33333333333327,166.3333333333332,67.33333333333329,188.0833333333332,325.2499999999998,92.4166666666666,18.666666666666654,29.83333333333331,0.0,2302.749999999998,48.499999999999964,2351.249999999998
35,N1,N1-19,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,156929.0,6.000000000000003,53.66666666666664,904.8333333333329,120.24999999999994,307.2499999999999,77.3333333333333,166.33333333333326,67.3333333333333,188.08333333333326,325.24999999999983,92.41666666666663,18.666666666666657,29.83333333333332,0.0,2302.749999999999,48.49999999999998,2351.249999999999
37,N1,N1-20,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,156929.0,5.999999999999975,53.66666666666689,904.8333333333371,120.2500000000005,307.25000000000125,77.33333333333366,166.33333333333402,67.33333333333361,188.0833333333341,325.25000000000136,92.41666666666706,18.666666666666742,29.833333333333456,0.0,2302.7500000000095,48.5000000000002,2351.2500000000095
39,N1,N1-21,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,163706.5,5.999999999999991,51.25000000000008,943.5833333333347,134.83333333333354,221.83333333333366,52.333333333333414,86.50000000000013,44.916666666666735,129.7500000000002,236.75000000000034,62.83333333333343,11.33333333333335,23.916666666666703,0.0,1964.5833333333362,35.25000000000005,1999.8333333333362
41,N1,N1-22,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,163706.5,6.000000000000005,51.24999999999996,943.5833333333325,134.8333333333332,221.83333333333314,52.333333333333286,86.49999999999993,44.91666666666663,129.7499999999999,236.7499999999998,62.83333333333328,11.333333333333323,23.916666666666647,0.0,1964.5833333333317,35.24999999999997,1999.8333333333317
43,N1,N1-23,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090,91.583,LRP105,3631,105.87899999999999,14.296,163706.5,5.999999999999997,51.25000000000002,943.5833333333337,134.8333333333334,221.83333333333343,52.33333333333336,86.50000000000004,44.916666666666686,129.75000000000006,236.7500000000001,62.833333333333364,11.33333333333334,23.91666666666668,0.0,1964.5833333333342,35.250000000000014,1999.8333333333342
45,N1,N1-24,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.87899999999999,LRP105,17450,119.698,13.819,163706.5,6.000000000000001,51.24999999999999,943.5833333333331,134.83333333333331,221.83333333333331,52.33333333333333,86.49999999999999,44.91666666666666,129.74999999999997,236.74999999999997,62.83333333333332,11.333333333333332,23.916666666666664,0.0,1964.583333333333,35.24999999999999,1999.833333333333
47,N1,N1-25,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,117479.5,6.000000000000003,71.41666666666663,612.7499999999998,132.4166666666666,128.4166666666666,51.49999999999998,113.49999999999994,46.41666666666664,91.41666666666663,140.74999999999994,56.41666666666664,5.749999999999997,19.666666666666657,0.0,1444.9999999999993,25.416666666666654,1470.416666666666
49,N1,N1-26,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,117479.5,6.000000000000022,71.4166666666664,612.7499999999977,132.41666666666617,128.4166666666662,51.49999999999981,113.49999999999957,46.416666666666494,91.41666666666633,140.7499999999995,56.41666666666646,5.749999999999979,19.666666666666593,0.0,1444.9999999999945,25.416666666666572,1470.4166666666613
51,N1,N1-27,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500,140.251,LRP146,240,143.034,2.783,159682.0,5.9999999999999725,112.83333333333385,800.6666666666704,200.7500000000009,346.4166666666683,104.58333333333381,162.91666666666742,38.75000000000018,127.41666666666725,240.66666666666777,63.08333333333362,20.000000000000092,38.58333333333351,0.0,2198.0833333333435,58.583333333333606,2256.666666666677
53,N1,N1-28,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Left),LRP146,240,143.034,LRP147,1614,145.409,2.375,159682.0,6.0,112.83333333333333,800.6666666666666,200.75,346.4166666666667,104.58333333333333,162.91666666666666,38.75,127.41666666666667,240.66666666666666,63.083333333333336,20.0,38.583333333333336,0.0,2198.0833333333335,58.583333333333336,2256.6666666666665
55,N1,N1-29,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614,145.409,LRP152,448,149.289,3.88,180224.5,5.999999999999993,58.75000000000007,960.9166666666678,265.75000000000034,265.83333333333366,108.25000000000013,193.83333333333357,53.3333333333334,170.91666666666686,209.83333333333357,68.66666666666674,15.416666666666686,32.91666666666671,0.0,2356.083333333336,48.33333333333339,2404.4166666666697
57,N1,N1-30,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448,149.289,LRP160,738,157.685,8.396,156143.5,6.00000000000001,69.16666666666656,841.583333333332,181.83333333333303,261.0833333333329,44.333333333333265,115.66666666666647,43.083333333333265,150.49999999999974,140.58333333333312,32.83333333333328,35.33333333333328,27.41666666666662,0.0,1880.6666666666636,62.7499999999999,1943.4166666666636
59,N1,N1-31,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738,157.685,LRP164,619,161.582,3.897,180224.5,5.999999999999987,58.75000000000013,960.9166666666688,265.75000000000057,265.83333333333394,108.25000000000024,193.83333333333377,53.33333333333345,170.91666666666706,209.8333333333338,68.66666666666681,15.416666666666702,32.91666666666674,0.0,2356.0833333333385,48.33333333333344,2404.416666666672
