,Road name,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,N1,42329724.72650003,1780.6,21508.8452430541,304850.82712903887,110509.00218793911,133623.89651655496,67801.81443746833,158134.93962635257,33292.34321180134,97658.87118052781,396704.61205810204,85360.68484599456,32658.419250397536,119733.0146348309,28.06649999999988,1409445.8364368335,152419.50038522843,1561865.3368220616
2,N101,250208.676,12.042,695.4254999999999,3522.285,1011.528,857.9925,593.0685,674.352,1267.4205,493.722,16407.225,1869.5205,590.058,1243.3365,0.0,27392.5395,1833.3944999999999,29225.934
3,N102,3504935.1000000006,150.13400000000001,10415.130040703305,43769.480943280476,27638.320205548454,19989.586308047416,5027.996531862076,20644.465909954604,8436.837276548438,11941.475923751901,168245.39270478903,25514.965979237855,6804.803891083128,25851.725000219572,0.0,341623.6518237236,32656.528891302703,374280.1807150263
4,N103,24153.066,11.028000000000002,0.0,227.8085337323177,298.2220805223068,0.0,0.0,472.1849608269858,118.04624020674645,285.796160500544,24431.429749455925,2926.304165125135,1486.9684292709464,25046.512790533183,0.0,28759.79189036996,26533.481219804125,55293.27311017409
5,N104,1411335.2630000003,104.58999999999999,1296.3341410431333,17746.515947575645,9681.762854260729,9319.923661253773,7279.206315886431,9436.546066029461,1628.8861540169264,4091.2985262805114,82324.29570061744,16812.620784328625,6451.474823308918,20885.807910913398,72.75827862313307,159617.39015129267,27410.041012845453,187027.43116413814
6,N105,4846899.658,84.401,6036.397106771804,70997.0036978673,23188.307032245473,818.3506879377842,785.4359289019606,18958.48866167971,2652.4399583248774,16116.530316226088,39500.22678176419,11777.006878953398,2422.6126267625295,14238.883582166869,0.0,190830.18705067257,16661.4962089294,207491.683259602
7,N106,1512436.2340000002,140.25799999999998,44.925910940963135,17986.85555005094,7458.169654696172,6421.514106239555,5987.702155406288,7015.278135200453,7617.0623216540025,6700.109313591441,69240.75794791919,17934.228667259915,3211.73526334878,5295.188583316541,0.0,146406.60376295893,8506.923846665319,154913.52760962423
8,N107,84503.25,10.53,0.0,889.7850000000001,1250.4375,347.49,0.0,697.6125000000001,71.07750000000001,679.1850000000001,7068.262500000001,2145.4875,805.5450000000001,960.8625,0.0,13149.337500000001,1766.4075000000003,14915.745
9,N108,148319.78,45.957,0.0,1990.0646817677393,1437.2689368322563,1470.436681528385,707.5785535174184,4444.4777892812845,619.1312343277411,5605.348853645799,24278.789117566423,6865.7231520987,2454.413107513545,11299.145026481276,0.0,47418.81900056574,13753.55813399482,61172.37713456057
10,N109,16515.8,6.91,0.0,165.41890718174744,119.46921074237315,122.22619252873562,58.815611442399096,369.4355593725693,51.46366001209921,465.92992189525535,2018.110667617319,570.6952297770288,204.0166521908219,939.2117952208106,0.0,3941.564960569527,1143.2284474116325,5084.793407981158
11,N110,105861.99999999999,16.4,0.0,1041.4,1681.0,1853.1999999999998,815.8999999999999,2119.7,1717.8999999999999,955.3,11529.199999999999,3366.0999999999995,188.6,459.19999999999993,0.0,25079.699999999997,647.8,25727.5
12,N111,163440.6,26.618,0.0,1529.4162747013302,2468.742805620257,2721.63841009843,1198.2434593132468,3113.0244646479828,2522.93472086558,1402.9684724622437,16931.962852205274,4943.506935156661,276.98090014276056,674.3882786084605,0.0,36832.43839507101,951.3691787512212,37783.807573822225
13,N112,35115.2,4.78,0.0,400.91922861150067,647.1530855539972,713.4468162692847,314.1060098176718,816.0442566619915,661.3588849929873,367.77236325385695,4438.523113604488,1295.884593267882,72.6074193548387,176.78328190743338,0.0,9655.20835203366,249.39070126227207,9904.599053295933
