,Road,LRPName,LRPStart Point,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process,Heavy Truck Create,Heavy Truck Destroy,Medium Truck Create,Medium Truck Destroy,Small Truck Create,Small Truck Destroy,Large Bus Create,Large Bus Destroy,Medium Bus Create,Medium Bus Destroy,Micro Bus Create,Micro Bus Destroy,Utility Create,Utility Destroy,Car Create,Car Destroy,Auto Rickshaw Create,Auto Rickshaw Destroy,Motor Cycle Create,Motor Cycle Destroy,Bi-Cycle Create,Bi-Cycle Destroy,Cycle Rickshaw Create,Cycle Rickshaw Destroy,Cart Create,Cart Destroy,Motorized Total Create,Motorized Total Destroy
0,N1,LRPS,yes,23.7060278,90.443333,0.0,0,0.0,0,LRPSa,BlankProcess,9.1,0.0,563.1,0.0,510.1,0.0,271.2,0.0,349.3,0.0,282.6,0.0,10.4,0.0,115.7,0.0,206.2,0.0,63.0,0.0,20.2,0.0,72.3,0.0,0.0,0.0,2380.7,0.0
1,N1,LRPSa,no,23.7029167,90.4504167,0.8140000000000001,0,0.0,0,LRPSb,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,N1,LRPSb,no,23.702777800000003,90.45047220000001,0.8220000000000001,0,0.0,0,LRP001,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,N1,LRP001,no,23.702138899999998,90.4519722,1.0,0,0.0,0,LRP001a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,N1,LRP001a,no,23.69873866,90.45886108,1.8,.,11.3,A,LRP002,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,N1,LRP002,no,23.697888600000002,90.4605833,2.0,0,0.0,0,LRP002a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,N1,LRP002a,no,23.697360800000002,90.4616667,2.13,0,0.0,0,LRP003,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,N1,LRP003,no,23.693832999999998,90.4691382,3.0,0,0.0,0,LRP004,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,N1,LRP004,no,23.693610800000002,90.4787771,4.0,0,0.0,0,LRP004a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,N1,LRP004a,no,23.6938052,90.48052709999999,4.175,0,0.0,0,LRP004b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,N1,LRP004b,no,23.69466384,90.48777492,4.925,.,6.6,A,LRP005,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,N1,LRP005,no,23.6947497,90.48849969999999,5.0,0,0.0,0,LRP006,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,N1,LRP006,no,23.6959163,90.49819409999999,6.0,0,0.0,0,LRP007,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,N1,LRP007,no,23.697333,90.50775,7.0,0,0.0,0,LRP007a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,N1,LRP007a,no,23.6979163,90.50927779999999,7.181,0,0.0,0,LRP008,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,N1,LRP008,no,23.7020556,90.51572220000001,8.0,0,0.0,0,LRP008a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,N1,LRP008a,no,23.7021111,90.5157778,8.011000000000001,0,0.0,0,LRP008b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,N1,LRP008b,no,23.704583300000003,90.5188327,8.429,0,0.0,0,LRP009,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,N1,LRP009,yes,23.705027800000003,90.5193327,8.503,0,0.0,0,LRP009a,BlankProcess,0.0,2.8,0.0,80.7,0.0,57.6,0.0,53.1,0.0,44.7,0.0,39.0,0.0,5.1,0.0,31.7,0.0,53.6,0.0,19.8,0.0,6.3,0.0,22.4,0.0,0.0,0.0,388.1
19,N1,LRP009a,no,23.706083300000003,90.5215271,8.763,0,0.0,0,LRP010,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,N1,LRP010,no,23.702527800000002,90.5273882,9.503,0,0.0,0,LRP010a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,N1,LRP010a,no,23.7015278,90.5281938,9.615,0,0.0,0,LRP011,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
