,Unnamed: 0,LRPName,Lat,ControlTraffic,Lon,Chainage,Description,Length,Cat,Next Node,BridgesDelay,Heavy Truck Create,Heavy Truck Destroy,Medium Truck Create,Medium Truck Destroy,Small Truck Create,Small Truck Destroy,Large Bus Create,Large Bus Destroy,Medium Bus Create,Medium Bus Destroy,Micro Bus Create,Micro Bus Destroy,Utility Create,Utility Destroy,Car Create,Car Destroy,Auto Rickshaw Create,Auto Rickshaw Destroy,Motor Cycle Create,Motor Cycle Destroy,Bi-Cycle Create,Bi-Cycle Destroy,Cycle Rickshaw Create,Cycle Rickshaw Destroy,Cart Create,Cart Destroy,Motorized Total Create,Motorized Total Destroy,Index,important_bridge
0,0,LRPS,23.7060278,ControlTraffic,90.443333,0.0,0,0.0,,LRPSa,DestroyTraffic,28.10267,0.0,503.61365,0.0,251.46306,0.0,430.90765,0.0,241.6658,0.0,233.24358999999998,0.0,57.1507,0.0,303.11354,0.0,502.49640999999997,0.0,198.09376,0.0,62.564969999999995,0.0,224.13385,0.0,0.0,0.0,2749.85083,0.0,1,False
1,1,LRPSa,23.7029167,,90.4504167,0.8140000000000001,0,0.0,,LRPSb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False
2,2,LRPSb,23.702777800000003,,90.45047220000001,0.8220000000000001,0,0.0,,LRP001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False
3,3,LRP001,23.702138899999998,,90.4519722,1.0,0,0.0,,LRP001a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,False
4,4,LRP001a,23.69873866,,90.4588610799999,1.8,.,11.3,A,LRP002,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False
5,5,LRP002,23.697888600000002,,90.4605833,2.0,0,0.0,,LRP002a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,False
6,6,LRP002a,23.697360800000002,,90.4616667,2.13,0,0.0,,LRP003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,False
7,7,LRP003,23.693832999999998,,90.4691382,3.0,0,0.0,,LRP004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,False
8,8,LRP004,23.693610800000002,,90.4787771,4.0,0,0.0,,LRP004a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,False
9,9,LRP004a,23.6938052,,90.48052709999999,4.175,0,0.0,,LRP004b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,False
10,10,LRP004b,23.694663836363606,,90.4877749181818,4.925,.,6.6,A,LRP005,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,False
11,11,LRP005,23.6947497,,90.48849969999999,5.0,0,0.0,,LRP006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,False
12,12,LRP006,23.6959163,,90.49819409999999,6.0,0,0.0,,LRP007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,False
13,13,LRP007,23.697333,,90.50775,7.0,0,0.0,,LRP007a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,False
14,14,LRP007a,23.6979163,,90.50927779999999,7.181,0,0.0,,LRP008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,False
15,15,LRP008,23.7020556,,90.51572220000001,8.0,0,0.0,,LRP008a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,False
16,16,LRP008a,23.7021111,,90.5157778,8.011000000000001,0,0.0,,LRP008b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,False
17,17,LRP008b,23.704583300000003,,90.5188327,8.429,0,0.0,,LRP009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,False
18,18,LRP009,23.705027800000003,ControlTraffic,90.5193327,8.503,0,0.0,,LRP009a,DestroyTraffic,9.070260000000001,0.0,563.14732,0.0,510.07058,0.0,271.17203,0.0,349.34979,0.0,282.63037,0.0,10.374460000000001,0.0,115.67881000000001,0.0,206.17663000000002,0.0,63.026219999999995,0.0,20.19313,0.0,72.34021,0.0,0.0,0.0,2380.69647,0.0,19,False
19,19,LRP009a,23.706083300000003,,90.5215271,8.763,0,0.0,,LRP010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,False
20,20,LRP010,23.702527800000002,,90.5273882,9.503,0,0.0,,LRP010a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,False
21,21,LRP010a,23.7015278,,90.5281938,9.615,0,0.0,,LRP011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,False
22,22,LRP011,23.696638600000004,,90.53480520000001,10.503,0,0.0,,LRP010b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,False
23,23,LRP010b,23.6943906141361,,90.53757407748691,10.88,NOYAPARA CULVERT,6.3,A,LRP011a,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,False
24,24,LRP011a,23.694360800000002,,90.5376108,10.885,0,0.0,,LRP010c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,False
25,25,LRP010c,23.694302386915805,,90.53770737196258,10.897,ADUPUR CULVERT,6.3,A,LRP011b,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,False
26,26,LRP011b,23.6922774,,90.5410552,11.312999999999999,0,0.0,,LRP012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,False
27,27,LRP012,23.6918052,ControlTraffic,90.5426108,11.497,0,0.0,,LRP012a,DestroyTraffic,2.81217,0.0,80.70161,0.0,57.61084,0.0,53.113080000000004,0.0,44.71096,0.0,39.02642,0.0,5.10835,0.0,31.682090000000002,0.0,53.611880000000006,0.0,19.75401,0.0,6.26074,0.0,22.42858,0.0,0.0,0.0,388.1314,0.0,28,False
28,28,LRP012a,23.6911108,,90.5448886,11.745,0,0.0,,LRP012b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,False
29,29,LRP012b,23.6910552,,90.54513859999999,11.770999999999999,0,0.0,,LRP011c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,False
30,30,LRP011c,23.690911931515107,,90.5454624957575,11.808,NAYABARI BOX CULVERT,10.6,B,LRP012c,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,False
31,31,LRP012c,23.6904163,,90.546583,11.936,0,0.0,,LRP013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,False
32,32,LRP013,23.6865274,ControlTraffic,90.5504167,12.524000000000001,0,0.0,,LRP013a,DestroyTraffic,30.20397,0.0,60.98483,0.0,0.0,0.6965899999999999,0.0,0.46935,0.0,0.74011,0.0,0.30103,20.991,0.0,29.717309999999998,0.0,0.0,0.61816,0.0,0.82311,0.0,0.9104899999999999,0.0,0.87985,0.0,0.0,0.0,0.38472,33,False
