road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
R241,26.292,Box Culvert,LRP026a,EKOR CHOL BOX CULVERT,12,B,114995,Auskandi-Raniganj-Jagannathpur-Pagla Road,26.292,7.6,1992,5,Sylhet,Sylhet,Sunamganj,Chattak,91.54419444,24.77369444,bcs1
R241,29.84,Box Culvert,LRP029a,MAJIDEPUR BOX CULVERT,3,A,114991,Auskandi-Raniganj-Jagannathpur-Pagla Road,29.84,7,1992,1,Sylhet,Sylhet,Sunamganj,Chattak,91.54388889,24.80511111,bcs1
R241,27.743,Box Culvert,LRP027a,EKOR CHAI BOX CULVERT,19.9,D,114994,Auskandi-Raniganj-Jagannathpur-Pagla Road,27.743,10.1,2001,3,Sylhet,Sylhet,Sunamganj,Chattak,91.54238889,24.78683333,bcs1
R241,28.857,Baily with Steel Deck,LRP028c,MAJIDPUR TRUSS BRIDGE,37.9,B,114992,Auskandi-Raniganj-Jagannathpur-Pagla Road,28.857,3.6,1992,1,Sylhet,Sylhet,Sunamganj,Chattak,91.54208333,24.79669444,bcs1
R241,28.211,Box Culvert,LRP028a,HIJLA BOX CULVERT,9.2,C,114993,Auskandi-Raniganj-Jagannathpur-Pagla Road,28.211,10.1,1992,2,Sylhet,Sylhet,Sunamganj,Chattak,91.54177778,24.79094444,bcs1
R241,31.212,Baily with Steel Deck,LRP031a,KHASIRA BAILEY WITH STEEL DECK,17.5,A,114990,Auskandi-Raniganj-Jagannathpur-Pagla Road,31.212,3.7,1992,1,Sylhet,Sylhet,Sunamganj,Chattak,91.53872222,24.81655556,bcs1
R241,32.128,Box Culvert,LRP032a,KHASIRA BOX CULVERT,6,C,114989,Auskandi-Raniganj-Jagannathpur-Pagla Road,32.128,7,1992,1,Sylhet,Sylhet,Sunamganj,Chattak,91.53436111,24.82383333,bcs1
R241,32.713,Box Culvert,LRP032b,KOLKALI BOX CULVERT,3,A,114988,Auskandi-Raniganj-Jagannathpur-Pagla Road,32.713,7,1997,1,Sylhet,Sylhet,Sunamganj,Chattak,91.53055556,24.82805556,bcs1
R241,33.126,Box Culvert,LRP033a,KOKAL BOX CULVERT,1,A,114987,Auskandi-Raniganj-Jagannathpur-Pagla Road,33.126,5.8,1996,1,Sylhet,Sylhet,Sunamganj,Chattak,91.52791667,24.83094444,bcs1
R241,33.759,Baily with Steel Deck,LRP033b,GONGUR BAILEY WITH STEEL DECK,14.2,C,114986,Auskandi-Raniganj-Jagannathpur-Pagla Road,33.759,3.6,1998,1,Sylhet,Sylhet,Sunamganj,Chattak,91.52408333,24.83522222,bcs1
R241,34.785,Truss with Steel Deck,LRP034a,TARA KHAI BRIDGE,57.2,C,114985,Auskandi-Raniganj-Jagannathpur-Pagla Road,34.785,3.8,1992,2,Sylhet,Sylhet,Sunamganj,Chattak,91.51938889,24.84288889,bcs1
R241,34.978,Box Culvert,LRP035a,TARAKHAI BOX CULVERT,14.4,A,114984,Auskandi-Raniganj-Jagannathpur-Pagla Road,34.978,10.1,1985,3,Sylhet,Sylhet,Sunamganj,Chattak,91.51819444,24.84497222,bcs1
R241,35.575,Box Culvert,LRP035c,COUNDER NOLA BOX CULVERT,14.4,C,114983,Auskandi-Raniganj-Jagannathpur-Pagla Road,35.575,10.1,2003,3,Sylhet,Sylhet,Sunamganj,Chattak,91.51616667,24.84986111,bcs1
R241,36.164,Truss with Steel Deck,LRP036a,COUNDER NOLA BRIDGE,40.6,A,114982,Auskandi-Raniganj-Jagannathpur-Pagla Road,36.164,3.6,1984,1,Sylhet,Sylhet,Sunamganj,Chattak,91.51408333,24.85508333,bcs1
R241,38.34,RCC Girder Bridge,LRP038a,BOMBOMI BRIDGE,45.2,C,114981,Auskandi-Raniganj-Jagannathpur-Pagla Road,38.34,3.8,1964,3,Sylhet,Sylhet,Sunamganj,Chattak,91.50041667,24.86791667,bcs1
R171,14.759,Slab Culvert,LRP014b,Adorshopara,7.6,D,113882,Banshkhali (Charati)-Chunti Road,14.759,3.4,1992,1,Chittagong,Chittagong,Dohazari,Dohazari,27.98097222,92.06561111,bcs1
Z5624,14.27,Box Culvert,LRP014c,.,4,A,115122,Bhurungamari-Sonahat land port-Madarganj-Bhitarband-Nageswari Road,14.27,7.6,1999,1,Rangpur,Rangpur,Kurigram,Kurigram - 1,26.66769444,89.78077778,bcs1
R281,35.74,RCC Girder Bridge,LRP037a,Horirampur Bridge,69.5,A,100126,Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road,35.74,3.98,1978,5,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,26.61661111,92.13561111,bcs1
N5,522.718,Slab Culvert,LRP527a,.,6.53,A,114408,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,522.718,9.55,1985,1,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.61180556,88.40894444,bcs1
N5,520.948,Box Culvert,LRP525a,.,3.5,A,114407,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,520.948,12.5,1990,1,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.6,88.40133333,bcs1
N5,512.693,RCC Girder Bridge,LRP517a,,42.95,A,119542,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,512.693,,,,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.582666,88.3920552,road_precise
N5,517.048,RCC Girder Bridge,LRP521b,.,42.75,A,114406,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,517.048,9.87,1988,2,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.56819444,88.38416667,bcs1
N5,516.568,Slab Culvert,LRP521a,.,3.65,A,114405,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,516.568,9.55,1985,1,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.56427778,88.38202778,bcs1
N5,517.048,RCC Girder Bridge,LRP521b,,42.75,B,119545,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,517.048,,,,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.55892482,88.37911881,road_interpolate
N5,507.097,PC Girder Bridge,LRP511a,,25,A,119539,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,507.097,,,,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.5328049,88.3642778,road_precise
N5,512.693,PC Girder Bridge,LRP517a,.,42.95,A,114404,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,512.693,9.8,1991,2,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.53255556,88.36427778,bcs1
N5,511.814,Slab Culvert,LRP516a,.,3.67,A,114403,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,511.814,9.57,1985,1,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.5255,88.36091667,bcs1
N5,505.489,PC Girder Bridge,LRP510a,,25,A,119538,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,505.489,,,,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.5254993,88.3608889,road_precise
N5,512.736,RCC Girder Bridge,LRP517b,Amla Bridge,123,B,119528,Dhaka (Mirpur)-Utholi-Paturia- Natakhola-Kashinathpur- Bogra-Rangpur-Beldanga- Banglabandh Road,512.736,,,,Rangpur,Dinajpur,Panchgarh,Panchgarh,26.52409613,88.36008234,road_interpolate
