	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced
0	Start of Road after Jatrabari Flyover infront of filling station.	LRPS	Others	23.7060278	90.443333	N1	0.0	
1	Box Culvert	LRPSa	Culvert	23.7029167	90.4504167	N1	0.8140000000000001	
2	Intersection with Z1101	LRPSb	Cross Road	23.702777800000003	90.45047220000001	N1	0.8220000000000001	
3	Km post missing	LRP001	Km Post	23.702138899999998	90.4519722	N1	1.0	
4	Km post missing	LRP002	Km Post	23.697888600000002	90.4605833	N1	2.0	
5	Box culvert	LRP002a	Culvert	23.697360800000002	90.4616667	N1	2.13	
6	Km post missing	LRP003	Km Post	23.693832999999998	90.4691382	N1	3.0	
7	Km post missing	LRP004	Km Post	23.693610800000002	90.4787771	N1	4.0	
8	Road to Narayanganj(R111)	LRP004a	Side Road, Right	23.6938052	90.48052709999999	N1	4.175	
9	Km post missing	LRP005	Km Post	23.6947497	90.48849969999999	N1	5.0	
10	Km post missing	LRP006	Km Post	23.6959163	90.49819409999999	N1	6.0	
11	Km post missing	LRP007	Km Post	23.697333	90.50775	N1	7.0	
12	R110,Left to Demra, Right to Narayanganj	LRP007a	Cross Road	23.6979163	90.50927779999999	N1	7.181	
13	Km post missing	LRP008	Km Post	23.7020556	90.51572220000001	N1	8.0	
14	Kachpur bridge	LRP008a	Bridge	23.7021111	90.5157778	N1	8.011000000000001	
15	Bridge end	LRP008b	Bridge	23.704583300000003	90.5188327	N1	8.429	
16	Chittagong 251 km,Comilla 84 km	LRP009	Km Post	23.705027800000003	90.5193327	N1	8.503	
17	Road to Sylhet (N2)	LRP009a	Side Road, Left	23.706083300000003	90.5215271	N1	8.763	
18	Km post missing	LRP010	Km Post	23.702527800000002	90.5273882	N1	9.503	
19	Box culvert	LRP010a	Culvert	23.7015278	90.5281938	N1	9.615	
20	Box culvert	LRP010b	Culvert	23.6998608	90.53072159999999	N1	9.963	
21	Box culvert	LRP010c	Culvert	23.6974163	90.5337774	N1	10.377	
22	Km post missing	LRP011	Km Post	23.696638600000004	90.53480520000001	N1	10.503	
23	Box culvert	LRP011a	Culvert	23.694360800000002	90.5376108	N1	10.885	
24	Box culvert	LRP011b	Culvert	23.6922774	90.5410552	N1	11.312999999999999	
25	Chittagong 248 km,Comilla 81 km	LRP012	Km Post	23.6918052	90.5426108	N1	11.497	
26	Bridge start	LRP012a	Bridge	23.6911108	90.5448886	N1	11.745	
27	Bridge end	LRP012b	Bridge	23.6910552	90.54513859999999	N1	11.770999999999999	
