	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced	zero_lon	zero_lat
0	0	Start of Road after Jatrabari Flyover infront of filling station.	LRPS	Others	23.7060278	90.443333	N1	0.0		False	False
1	1	Box Culvert	LRPSa	Culvert	23.7029167	90.4504167	N1	0.8140000000000001		False	False
2	2	Intersection with Z1101	LRPSb	Cross Road	23.702777800000003	90.4504722	N1	0.8220000000000001		False	False
3	3	Km post missing	LRP001	Km Post	23.7021389	90.4519722	N1	1.0		False	False
4	4	Km post missing	LRP002	Km Post	23.6978886	90.4605833	N1	2.0		False	False
5	5	Box culvert	LRP002a	Culvert	23.6973608	90.4616667	N1	2.13		False	False
6	6	Km post missing	LRP003	Km Post	23.693833	90.4691382	N1	3.0		False	False
7	7	Km post missing	LRP004	Km Post	23.6936108	90.4787771	N1	4.0		False	False
8	8	Road to Narayanganj(R111)	LRP004a	Side Road, Right	23.6938052	90.4805271	N1	4.175		False	False
9	9	Km post missing	LRP005	Km Post	23.6947497	90.4884997	N1	5.0		False	False
10	10	Km post missing	LRP006	Km Post	23.6959163	90.4981941	N1	6.0		False	False
11	11	Km post missing	LRP007	Km Post	23.697333	90.50775	N1	7.0		False	False
12	12	R110,Left to Demra, Right to Narayanganj	LRP007a	Cross Road	23.6979163	90.5092778	N1	7.181		False	False
13	13	Km post missing	LRP008	Km Post	23.7020556	90.5157222	N1	8.0		False	False
14	14	Kachpur bridge	LRP008a	Bridge	23.7021111	90.5157778	N1	8.011000000000001		False	False
15	15	Bridge end	LRP008b	Bridge	23.704583300000003	90.5188327	N1	8.429		False	False
16	16	Chittagong 251 km,Comilla 84 km	LRP009	Km Post	23.705027800000003	90.5193327	N1	8.503		False	False
17	17	Road to Sylhet (N2)	LRP009a	Side Road, Left	23.706083300000003	90.5215271	N1	8.763		False	False
18	18	Km post missing	LRP010	Km Post	23.7025278	90.5273882	N1	9.503		False	False
19	19	Box culvert	LRP010a	Culvert	23.7015278	90.5281938	N1	9.615		False	False
20	20	Box culvert	LRP010b	Culvert	23.6998608	90.5307216	N1	9.963		False	False
21	21	Box culvert	LRP010c	Culvert	23.6974163	90.5337774	N1	10.377		False	False
22	22	Km post missing	LRP011	Km Post	23.696638600000004	90.5348052	N1	10.503		False	False
23	23	Box culvert	LRP011a	Culvert	23.6943608	90.5376108	N1	10.885		False	False
24	24	Box culvert	LRP011b	Culvert	23.6922774	90.5410552	N1	11.313		False	False
25	25	Chittagong 248 km,Comilla 81 km	LRP012	Km Post	23.6918052	90.5426108	N1	11.497		False	False
26	26	Bridge start	LRP012a	Bridge	23.6911108	90.5448886	N1	11.745		False	False
27	27	Bridge end	LRP012b	Bridge	23.6910552	90.5451386	N1	11.771		False	False
28	28	Right to Syedpur (R113) left to Joydebpur N105)	LRP012c	Side Road, Right	23.6904163	90.546583	N1	11.936		False	False
29	29	Ctg 247 km,Comilla 80 km	LRP013	Km Post	23.6865274	90.5504167	N1	12.524		False	False
30	30	Box culvert	LRP013a	Culvert	23.6854997	90.5512778	N1	12.672		False	False
31	31	Km post missing	LRP014	Km Post	23.678166	90.5556111	N1	13.524		False	False
32	32	Km post missing	LRP015	Km Post	23.670916	90.5597778	N1	14.524		False	False
33	33	Box culvert	LRP015a	Culvert	23.6705827	90.5599722	N1	14.563		False	False
34	34	Km post missing	LRP016	Km Post	23.662833300000006	90.5641111	N1	15.524		False	False
35	35	Road to MinanbariZ1061)	LRP016a	Side Road, Right	23.6604167	90.5671104	N1	15.935		False	False
36	36	Langalbandhu bridge	LRP016b	Bridge	23.6591111	90.5697216	N1	16.242		False	False
37	37	Bridge end	LRP016c	Bridge	23.6583056	90.5709993	N1	16.402		False	False
38	38	Km post missing	LRP017	Km Post	23.6575	90.57197159999998	N1	16.524		False	False
39	39	Bridge start	LRP017a	Bridge	23.6559722	90.5743327	N1	16.831		False	False
40	40	Bridge end	LRP017b	Bridge	23.6559167	90.5745271	N1	16.852		False	False
41	41	Bridge start	LRP017c	Bridge	23.6540556	90.5772771	N1	17.204		False	False
42	42	Bridge end	LRP017d	Bridge	23.6539167	90.5774993	N1	17.234		False	False
43	43	Km post missing	LRP018	Km Post	23.6525278	90.5798882	N1	17.524		False	False
44	44	Bridge start	LRP018a	Bridge	23.6508889	90.5826382	N1	17.863		False	False
45	45	Bridge end	LRP018b	Bridge	23.6506944	90.5829993	N1	17.904		False	False
46	46	Km post missing	LRP019	Km Post	23.6476108	90.588083	N1	18.524		False	False
47	47	Box culvert	LRP019a	Culvert	23.644944100000004	90.5899163	N1	18.878		False	False
48	48	Box culvert	LRP019b	Culvert	23.6397497	90.5926941	N1	19.521		False	False
49	49	Km post missing	LRP020	Km Post	23.639694100000003	90.5927219	N1	19.524		False	False
50	50	Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066)	LRP020a	Side Road, Left	23.6358608	90.5948052	N1	20.044		False	False
51	51	Bridge start	LRP020b	Bridge	23.6341108	90.59702740000002	N1	20.342		False	False
52	52	Bridge end	LRP020c	Bridge	23.6335552	90.5976941	N1	20.442		False	False
53	53	Km post missing	LRP021	Km Post	23.6330549	90.5982774	N1	20.524		False	False
54	54	Box culvert	LRP021a	Culvert	23.6262771	90.6042222	N1	21.499		False	False
55	55	Ctg 238 km,Comilla 71 km	LRP022	Km Post	23.625221600000003	90.6049722	N1	21.629		False	False
56	56	Bridge start	LRP022a	Bridge	23.6242216	90.6055278	N1	21.765		False	False
57	57	Bridge end	LRP022b	Bridge	23.6224993	90.6066944	N1	21.993		False	False
58	58	Bridge start	LRP022c	Bridge	23.6204716	90.6079722	N1	22.252		False	False
59	59	Bridge end	LRP022d	Bridge	23.6195271	90.6085833	N1	22.374		False	False
60	60	Km post missing	LRP023	Km Post	23.6173604	90.6096944	N1	22.629		False	False
61	61	Meghna bridge	LRP023a	Bridge	23.6095556	90.6121944	N1	23.564		False	False
62	62	Km post missing	LRP024	Km Post	23.609	90.6124722	N1	23.629		False	False
63	63	Bridge end	LRP024a	Bridge	23.6018611	90.6159722	N1	24.503		False	False
64	64	Km post missing	LRP025	Km Post	23.6009444	90.6165556	N1	24.629		False	False
65	65	Km post missing	LRP026	Km Post	23.5959997	90.624666	N1	25.629		False	False
66	66	Box culvert	LRP026a	Culvert	23.5959441	90.6246938	N1	25.639		False	False
67	67	Box culvert	LRP026b	Culvert	23.5917497	90.6293327	N1	26.313		False	False
68	68	Km post missing	LRP027	Km Post	23.5896108	90.6313882	N1	26.629		False	False
69	69	Bridge start	LRP027a	Bridge	23.58622175	90.6369441	N1	27.503	True	False	False
70	70	Km post missing	LRP028	Km Post	23.5828327	90.6378886	N1	27.629		False	False
71	71	Bridge end	LRP028a	Bridge	23.5825827	90.6381386	N1	27.668000000000006		False	False
72	72	Bridge start	LRP028b	Bridge	23.577916	90.6419719	N1	28.324		False	False
73	73	Bridge end	LRP028c	Bridge	23.5776104	90.6421108	N1	28.363000000000003		False	False
74	74	Information missing	LRP029	Km Post	23.5745271	90.6436941	N1	28.759		False	False
75	75	Bridge start	LRP029a	Bridge	23.572166	90.6451108	N1	29.067		False	False
76	76	Bridge end	LRP029b	Bridge	23.5718327	90.6453052	N1	29.113000000000003		False	False
77	77	Km post missing	LRP030	Km Post	23.5666111	90.6481663	N1	29.759		False	False
78	78	Bridge start	LRP030a	Bridge	23.5639167	90.6501944	N1	30.127		False	False
79	79	Bridge end	LRP030b	Bridge	23.5636944	90.6504722	N1	30.165		False	False
80	80	Bridge start	LRP030c	Bridge	23.5604167	90.6542222	N1	30.697		False	False
81	81	Bridge end	LRP030d	Bridge	23.5602222	90.6545	N1	30.735		False	False
82	82	Ctg 229 km,Comilla 62 km	LRP031	Km Post	23.5599722	90.6548056	N1	30.774		False	False
83	83	Road to Gazara (Z1063)	LRP031a	Side Road, Right	23.559027800000006	90.6559444	N1	30.936		False	False
84	84	Bridge start	LRP031b	Bridge	23.5564444	90.6588611	N1	31.348000000000006		False	False
85	85	Bridge end	LRP031c	Bridge	23.5562222	90.6591389	N1	31.388		False	False
86	86	Ctg 228 km,Comilla 61 km	LRP032	Km Post	23.5538056	90.6619722	N1	31.783		False	False
87	87	Box culvert	LRP032a	Culvert	23.5523333	90.6636667	N1	32.025		False	False
88	88	Ctg 227 km,Comilla 60 km	LRP033	Km Post	23.5487497	90.6678327	N1	32.607		False	False
89	89	Bridge start	LRP033a	Bridge	23.5474163	90.6694438	N1	32.831		False	False
90	90	Bridge end	LRP033b	Bridge	23.5469441	90.6699993	N1	32.908		False	False
91	91	Box culvert	LRP033c	Culvert	23.5442219	90.6731104	N1	33.351		False	False
92	92	Km post missing	LRP034	Km Post	23.542583	90.6749438	N1	33.607		False	False
93	93	Km post missing	LRP035	Km Post	23.5362497	90.681916	N1	34.607		False	False
94	94	Bridge start	LRP035a	Bridge	23.536083	90.6821382	N1	34.641		False	False
95	95	Bridge end	LRP035b	Bridge	23.5358608	90.6823604	N1	34.681		False	False
96	96	Box culvert	LRP035c	Culvert	23.5341386	90.6843052	N1	34.956		False	False
97	97	Km post missing	LRP036	Km Post	23.5301938	90.688833	N1	35.607		False	False
98	98	Daudkandi bridge	LRP036a	Bridge	23.529916	90.6952219	N1	36.271		False	False
99	99	Km post missing	LRP037	Km Post	23.5301382	90.6984997	N1	36.607		False	False
100	100	Km post missing	LRP038	Km Post	23.5307493	90.7082778	N1	37.607		False	False
101	101	Daudkandi bridge	LRP038a	Bridge	23.5307771	90.7090278	N1	37.685		False	False
102	102	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04		False	False
103	103	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04		False	False
104	104	Road to Matlab (Z1062)	LRP038c	Side Road, Right	23.531471600000003	90.7172216	N1	38.466		False	False
105	105	Bridge start	LRP038d	Bridge	23.5315271	90.7173604	N1	38.543		False	False
106	106	Bridge end	LRP038e	Bridge	23.5315827	90.7176104	N1	38.56		False	False
107	107	Km post missing	LRP039	Km Post	23.5317216	90.7180271	N1	38.607		False	False
108	108	Box culvert	LRP039a	Culvert	23.5168049	90.7226382	N1	39.12		False	False
109	109	Km post missing	LRP040	Km Post	23.5327216	90.7269993	N1	39.607		False	False
110	110	Km post missing	LRP041	Km Post	23.528916	90.7356108	N1	40.607		False	False
111	111	Ctg 214 km	LRP042	Km Post	23.5289993	90.7419441	N1	41.261		False	False
112	112	Bridge start	LRP042a	Bridge	23.5293882	90.7514167	N1	42.228		False	False
113	113	Bridge end	LRP042b	Bridge	23.5293882	90.7515833	N1	42.245		False	False
114	114	Km post broken	LRP043	Km Post	23.529416	90.75175	N1	42.269		False	False
115	115	Km post Missing	LRP044	Km Post	23.5299993	90.7615	N1	43.269		False	False
116	116	Km post Missing	LRP045	Km Post	23.5304438	90.77130490000002	N1	44.269		False	False
117	117	Box culvert	LRP045a	Culvert	23.5304993	90.7731104	N1	44.45399999999999		False	False
118	118	Km post Missing	LRP046	Km Post	23.5308049	90.7811104	N1	45.269		False	False
119	119	Z1402, road to Pennai	LRP046a	Side Road, Right	23.5307493	90.7816104	N1	45.322		False	False
120	120	Z1053, Road to Homna	LRP046b	Side Road, Left	23.530666	90.7821938	N1	45.38800000000001		False	False
121	121	Box culvert	LRP046c	Culvert	23.5312216	90.7895552	N1	46.161		False	False
122	122	Km post Missing	LRP047	Km Post	23.531166	90.7907219	N1	46.269		False	False
