	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced
0	0	Start of Road after Jatrabari Flyover infront of filling station.	LRPS	Others	23.7060278	90.443333	N1	0.0	
1	1	Box Culvert	LRPSa	Culvert	23.7029167	90.4504167	N1	0.8140000000000001	
2	2	Intersection with Z1101	LRPSb	Cross Road	23.702777800000003	90.4504722	N1	0.8220000000000001	
3	3	Km post missing	LRP001	Km Post	23.7021389	90.4519722	N1	1.0	
4	4	Km post missing	LRP002	Km Post	23.6978886	90.4605833	N1	2.0	
5	5	Box culvert	LRP002a	Culvert	23.6973608	90.4616667	N1	2.13	
6	6	Km post missing	LRP003	Km Post	23.693833	90.4691382	N1	3.0	
7	7	Km post missing	LRP004	Km Post	23.6936108	90.4787771	N1	4.0	
8	8	Road to Narayanganj(R111)	LRP004a	Side Road, Right	23.6938052	90.4805271	N1	4.175	
9	9	Km post missing	LRP005	Km Post	23.6947497	90.4884997	N1	5.0	
10	10	Km post missing	LRP006	Km Post	23.6959163	90.4981941	N1	6.0	
11	11	Km post missing	LRP007	Km Post	23.697333	90.50775	N1	7.0	
12	12	R110,Left to Demra, Right to Narayanganj	LRP007a	Cross Road	23.6979163	90.5092778	N1	7.181	
13	13	Km post missing	LRP008	Km Post	23.7020556	90.5157222	N1	8.0	
14	14	Kachpur bridge	LRP008a	Bridge	23.7021111	90.5157778	N1	8.011000000000001	
15	15	Bridge end	LRP008b	Bridge	23.704583300000003	90.5188327	N1	8.429	
16	16	Chittagong 251 km,Comilla 84 km	LRP009	Km Post	23.705027800000003	90.5193327	N1	8.503	
17	17	Road to Sylhet (N2)	LRP009a	Side Road, Left	23.706083300000003	90.5215271	N1	8.763	
18	18	Km post missing	LRP010	Km Post	23.7025278	90.5273882	N1	9.503	
19	19	Box culvert	LRP010a	Culvert	23.7015278	90.5281938	N1	9.615	
20	20	Box culvert	LRP010b	Culvert	23.6998608	90.5307216	N1	9.963	
21	21	Box culvert	LRP010c	Culvert	23.6974163	90.5337774	N1	10.377	
22	22	Km post missing	LRP011	Km Post	23.696638600000004	90.5348052	N1	10.503	
23	23	Box culvert	LRP011a	Culvert	23.6943608	90.5376108	N1	10.885	
24	24	Box culvert	LRP011b	Culvert	23.6922774	90.5410552	N1	11.313	
25	25	Chittagong 248 km,Comilla 81 km	LRP012	Km Post	23.6918052	90.5426108	N1	11.497	
26	26	Bridge start	LRP012a	Bridge	23.6911108	90.5448886	N1	11.745	
27	27	Bridge end	LRP012b	Bridge	23.6910552	90.5451386	N1	11.771	
28	28	Right to Syedpur (R113) left to Joydebpur N105)	LRP012c	Side Road, Right	23.6904163	90.546583	N1	11.936	
29	29	Ctg 247 km,Comilla 80 km	LRP013	Km Post	23.6865274	90.5504167	N1	12.524	
30	30	Box culvert	LRP013a	Culvert	23.6854997	90.5512778	N1	12.672	
31	31	Km post missing	LRP014	Km Post	23.678166	90.5556111	N1	13.524	
32	32	Km post missing	LRP015	Km Post	23.670916	90.5597778	N1	14.524	
33	33	Box culvert	LRP015a	Culvert	23.6705827	90.5599722	N1	14.563	
34	34	Km post missing	LRP016	Km Post	23.662833300000006	90.5641111	N1	15.524	
35	35	Road to MinanbariZ1061)	LRP016a	Side Road, Right	23.6604167	90.5671104	N1	15.935	
36	36	Langalbandhu bridge	LRP016b	Bridge	23.6591111	90.5697216	N1	16.242	
37	37	Bridge end	LRP016c	Bridge	23.6583056	90.5709993	N1	16.402	
38	38	Km post missing	LRP017	Km Post	23.6575	90.57197159999998	N1	16.524	
39	39	Bridge start	LRP017a	Bridge	23.6559722	90.5743327	N1	16.831	
40	40	Bridge end	LRP017b	Bridge	23.6559167	90.5745271	N1	16.852	
41	41	Bridge start	LRP017c	Bridge	23.6540556	90.5772771	N1	17.204	
42	42	Bridge end	LRP017d	Bridge	23.6539167	90.5774993	N1	17.234	
43	43	Km post missing	LRP018	Km Post	23.6525278	90.5798882	N1	17.524	
44	44	Bridge start	LRP018a	Bridge	23.6508889	90.5826382	N1	17.863	
45	45	Bridge end	LRP018b	Bridge	23.6506944	90.5829993	N1	17.904	
46	46	Km post missing	LRP019	Km Post	23.6476108	90.588083	N1	18.524	
47	47	Box culvert	LRP019a	Culvert	23.644944100000004	90.5899163	N1	18.878	
